Component,Explained Var,Cumulative
84,3.1638072598198636e-05,0.9990224861515266
85,3.0919997734027924e-05,0.9990534061492606
86,3.070054102596105e-05,0.9990841066902866
87,2.974658782355032e-05,0.9991138532781101
88,2.9040701734265185e-05,0.9991428939798443
89,2.7219680268242132e-05,0.9991701136601125
90,2.7034296572985888e-05,0.9991971479566856
91,2.483345234245648e-05,0.9992219814090281
92,2.4228739363755146e-05,0.9992462101483919
93,2.3856465138235975e-05,0.9992700666135301
94,2.3711621273075463e-05,0.9992937782348033
95,2.2131904916826102e-05,0.9993159101397201
96,2.185364303439557e-05,0.9993377637827545
97,2.097365489561071e-05,0.9993587374376501
98,2.0430541154752495e-05,0.9993791679788049
99,2.0216096639889207e-05,0.9993993840754448
100,1.9764010937343146e-05,0.9994191480863822
101,1.9409591041974165e-05,0.9994385576774242
102,1.9073117745148896e-05,0.9994576307951694
103,1.895985049582571e-05,0.9994765906456652
104,1.7443134241243042e-05,0.9994940337799064
105,1.7089168862929274e-05,0.9995111229487693
106,1.6532604231631015e-05,0.9995276555530009
107,1.642555883337203e-05,0.9995440811118343
108,1.579425926898598e-05,0.9995598753711034
109,1.5535742026132497e-05,0.9995754111131295
110,1.519272850220965e-05,0.9995906038416318
111,1.4807630389871416e-05,0.9996054114720216
112,1.425624679939003e-05,0.999619667718821
113,1.4141511270316533e-05,0.9996338092300914
114,1.3180672274500255e-05,0.9996469899023659
115,1.3038138982007568e-05,0.9996600280413479
116,1.2594407723254701e-05,0.9996726224490712
117,1.2192716948496444e-05,0.9996848151660197
118,1.1937300891936702e-05,0.9996967524669116
119,1.1694327939248734e-05,0.9997084467948508
120,1.1152962909258418e-05,0.99971959975776
121,1.0867555763165058e-05,0.9997304673135232
122,1.073790740263398e-05,0.9997412052209258
123,1.0281686685386659e-05,0.9997514869076112
124,1.0128058938517981e-05,0.9997616149665497
125,9.665902272804427e-06,0.9997712808688225
126,9.31962796193782e-06,0.9997806004967844
127,9.028227497413544e-06,0.9997896287242818
128,8.777872862714003e-06,0.9997984065971445
129,8.625658229400056e-06,0.9998070322553739
130,8.433410360656724e-06,0.9998154656657345
131,8.177831052085064e-06,0.9998236434967867
132,7.69767583658968e-06,0.9998313411726233
133,7.631624307062404e-06,0.9998389727969303
134,7.251261955886735e-06,0.9998462240588862
135,7.016500282446281e-06,0.9998532405591687
136,6.8127579186051045e-06,0.9998600533170873
137,6.5841342437655535e-06,0.9998666374513311
138,6.306273433057572e-06,0.9998729437247641
139,6.151627955630151e-06,0.9998790953527197
140,5.998316881394742e-06,0.9998850936696011
141,5.737505010669467e-06,0.9998908311746117
142,5.558194587763571e-06,0.9998963893691996
143,5.250449139559633e-06,0.9999016398183391
144,5.079336285983883e-06,0.9999067191546251
145,5.010333861944989e-06,0.999911729488487
146,4.824211584074766e-06,0.9999165537000712
147,4.659356763050472e-06,0.9999212130568342
148,4.5639661343967045e-06,0.9999257770229686
149,4.291721288224078e-06,0.9999300687442568
150,4.013341281790051e-06,0.9999340820855386
151,3.867911281816909e-06,0.9999379499968204
152,3.746195221145216e-06,0.9999416961920415
153,3.7120450297792504e-06,0.9999454082370713
154,3.5628114257564934e-06,0.9999489710484971
155,3.3910333270381433e-06,0.9999523620818241
156,3.171713730797136e-06,0.9999555337955549
157,3.059694702523379e-06,0.9999585934902574
158,2.830657309447765e-06,0.9999614241475668
159,2.81904839499582e-06,0.9999642431959618
160,2.6079101555624525e-06,0.9999668511061174
161,2.456764950162314e-06,0.9999693078710675
