H,O+,,O,H+,,,5.66E-10,0.36,-8.6,10,41000
H,CO+,,CO,H+,,,7.50E-10,0,0,10,41000
H,C,,CH,PHOTON,,,1.00E-17,0,0,10,300
H,C+,,CH+,PHOTON,,,1.70E-17,0,0,10,300
H,O,,OH,PHOTON,,,9.90E-19,-0.38,0,10,300
H,OH,,H2O,PHOTON,,,5.26E-18,-5.22,90,20,300
H,CRP,,H+,E-,,,5.98E-18,0,0,10,41000
H,H2,,H,H,H,,4.67E-07,-1,55000,1833,41000
H,CH,,C,H,H,,6.00E-09,0,40200,1340,41000
H,OH,,O,H,H,,6.00E-09,0,50900,1696,41000
H,H2O,,OH,H,H,,5.80E-09,0,52900,1763,41000
H,O2,,O,O,H,,6.00E-09,0,52300,1743,41000
H+,CH2,,CH+,H2,,,1.40E-09,0,0,10,41000
H+,CH4,,CH3+,H2,,,2.30E-09,0,0,10,41000
H+,H2,,H2+,H,,,1.00E-10,0,21200,706,41000
H+,CH,,CH+,H,,,1.90E-09,0,0,10,41000
H+,CH2,,CH2+,H,,,1.40E-09,0,0,10,41000
H+,CH3,,CH3+,H,,,3.40E-09,0,0,10,41000
H+,O,,O+,H,,,7.31E-10,0.23,225.9,10,10000
H+,O,,O+,H,,,3.04E-10,0.47,-11.5,10000,41000
H+,CH4,,CH4+,H,,,1.50E-09,0,0,10,41000
H+,OH,,OH+,H,,,2.10E-09,0,0,10,41000
H+,H2O,,H2O+,H,,,6.90E-09,0,0,10,300
H+,MG,,MG+,H,,,1.10E-09,0,0,10,41000
H+,O2,,O2+,H,,,2.00E-09,0,0,10,300
H+,E-,,H,PHOTON,,,3.50E-12,-0.75,0,10,20000
H+,H,,H2+,PHOTON,,,5.13E-19,1.85,0,200,4000
H+,H,,H2+,PHOTON,,,2.35E-16,0.24,8500,4000,32000
H2,C,,CH,H,,,6.64E-10,0,11700,300,2500
H2,CH,,CH2,H,,,5.46E-10,0,1943,300,2500
H2,CH2,,CH3,H,,,5.18E-11,0.17,6400,300,2500
H2,CH3,,CH4,H,,,6.86E-14,2.74,4740,300,2500
H2,O,,OH,H,,,3.14E-13,2.7,3150,297,3532
H2,OH,,H2O,H,,,2.05E-12,1.52,1736,250,2581
H2,O2,,OH,OH,,,3.16E-10,0,21890,300,2500
H2,HE+,,HE,H+,H,,3.70E-14,0,35,10,300
H2,C+,,CH+,H,,,1.00E-10,0,4640,154,300
H2,CH+,,CH2+,H,,,1.20E-09,0,0,10,300
H2,CH2+,,CH3+,H,,,1.60E-09,0,0,10,41000
H2,O+,,OH+,H,,,1.70E-09,0,0,10,41000
H2,CH4+,,CH5+,H,,,3.30E-11,0,0,10,41000
H2,OH+,,H2O+,H,,,1.01E-09,0,0,10,41000
H2,H2O+,,H3O+,H,,,6.40E-10,0,0,10,41000
H2,CO+,,HCO+,H,,,1.80E-09,0,0,10,41000
H2,HE+,,HE,H2+,,,7.20E-15,0,0,10,300
H2,C,,CH2,PHOTON,,,1.00E-17,0,0,10,300
H2,C+,,CH2+,PHOTON,,,4.00E-16,-0.2,0,10,300
H2,CH,,CH3,PHOTON,,,5.09E-18,-0.71,11.6,10,300
H2,CH3+,,CH5+,PHOTON,,,1.30E-14,-1,0,10,300
H2,CRP,,H+,E-,H,,2.20E-19,0,0,10,41000
H2,CRP,,H,H,,,1.30E-18,0,0,10,41000
H2,CRP,,H2+,E-,,,1.14E-17,0,0,10,41000
H2,E-,,H,E-,H,,3.22E-09,0.35,102000,3400,41000
H2,H2,,H2,H,H,,1.00E-08,0,84100,2803,41000
H2,CH,,C,H2,H,,6.00E-09,0,40200,1340,41000
H2,OH,,O,H2,H,,6.00E-09,0,50900,1696,41000
H2,H2O,,OH,H2,H,,5.80E-09,0,52900,1763,41000
H2,O2,,O,O,H2,,6.00E-09,0,52300,1743,41000
H2+,H2,,H3+,H,,,2.08E-09,0,0,10,41000
H2+,C,,CH+,H,,,2.40E-09,0,0,10,41000
H2+,CH,,CH2+,H,,,7.10E-10,0,0,10,41000
H2+,CH2,,CH3+,H,,,1.00E-09,0,0,10,41000
H2+,O,,OH+,H,,,1.50E-09,0,0,10,41000
H2+,CH4,,CH5+,H,,,1.14E-10,0,0,10,41000
H2+,CH4,,CH3+,H2,H,,2.30E-09,0,0,10,41000
H2+,OH,,H2O+,H,,,7.60E-10,0,0,10,41000
H2+,H2O,,H3O+,H,,,3.40E-09,0,0,10,41000
H2+,CO,,HCO+,H,,,2.16E-09,0,0,10,41000
H2+,CH,,CH+,H2,,,7.10E-10,0,0,10,41000
H2+,CH2,,CH2+,H2,,,1.00E-09,0,0,10,41000
H2+,CH4,,CH4+,H2,,,1.40E-09,0,0,10,41000
H2+,OH,,OH+,H2,,,7.60E-10,0,0,10,41000
H2+,H2O,,H2O+,H2,,,3.90E-09,0,0,10,41000
H2+,CO,,CO+,H2,,,6.40E-10,0,0,10,41000
H2+,O2,,O2+,H2,,,8.00E-10,0,0,10,41000
H2+,E-,,H,H,,,1.60E-08,-0.43,0,10,300
H2+,PHOTON,,H+,H,,,5.70E-10,0,1.9,10,41000
H2O,CO+,,HCO+,OH,,,8.84E-10,0,0,10,41000
H2O,HCO+,,CO,H3O+,,,2.50E-09,0,0,10,41000
H2O,CO+,,CO,H2O+,,,1.72E-09,0,0,10,41000
H2O,PHOTON,,OH,H,,,5.90E-10,0,1.7,10,41000
H2O,PHOTON,,H2O+,E-,,,3.30E-11,0,3.9,10,41000
H2O,CRPHOT,,OH,H,,,1.30E-17,0,971,10,41000
