Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
22 1.29752E-15 1.82862E-07 2.50298E-08 5.37056E-22 9.02358E-12 1.66012E-14 1.11505E-22 5.32304E-11 7.09702E-12 4.97497E-06 9.97247E-05 2.19116E-20 6.95946E-14 1.69609E-16 6.86147E-14 3.66561E-14 1.32929E-15 3.33981E-12 6.00169E-06 2.57490E-15 6.18374E-13 6.84440E-17 6.98870E-15 2.13188E-13 2.75020E-07 9.99998E-02 2.16320E-12 3.13165E-10 7.05326E-10 2.99999E-04 6.88450E-04 9.98617E-01 1.10884E-04
23 1.29769E-15 1.82862E-07 2.50298E-08 5.37166E-22 9.02358E-12 1.66023E-14 1.11528E-22 5.32304E-11 7.09739E-12 4.97497E-06 9.97247E-05 2.19161E-20 6.96025E-14 1.69640E-16 6.86147E-14 3.66573E-14 1.32947E-15 3.33981E-12 6.00169E-06 2.57525E-15 6.18407E-13 6.84533E-17 6.98886E-15 2.13202E-13 2.75020E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05326E-10 2.99999E-04 6.88497E-04 9.98617E-01 1.10884E-04
24 1.29778E-15 1.82862E-07 2.50298E-08 5.37222E-22 9.02358E-12 1.66028E-14 1.11539E-22 5.32304E-11 7.09758E-12 4.97497E-06 9.97247E-05 2.19183E-20 6.96065E-14 1.69655E-16 6.86147E-14 3.66579E-14 1.32956E-15 3.33981E-12 6.00169E-06 2.57543E-15 6.18423E-13 6.84580E-17 6.98893E-15 2.13210E-13 2.75021E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05326E-10 2.99999E-04 6.88521E-04 9.98617E-01 1.10884E-04
25 1.29796E-15 1.82862E-07 2.50298E-08 5.37332E-22 9.02359E-12 1.66040E-14 1.11562E-22 5.32303E-11 7.09796E-12 4.97497E-06 9.97247E-05 2.19228E-20 6.96144E-14 1.69686E-16 6.86147E-14 3.66591E-14 1.32974E-15 3.33981E-12 6.00168E-06 2.57578E-15 6.18455E-13 6.84674E-17 6.98908E-15 2.13224E-13 2.75021E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05326E-10 2.99999E-04 6.88568E-04 9.98617E-01 1.10884E-04
26 1.29805E-15 1.82862E-07 2.50298E-08 5.37387E-22 9.02359E-12 1.66045E-14 1.11574E-22 5.32303E-11 7.09815E-12 4.97497E-06 9.97247E-05 2.19251E-20 6.96184E-14 1.69702E-16 6.86147E-14 3.66597E-14 1.32983E-15 3.33982E-12 6.00168E-06 2.57595E-15 6.18471E-13 6.84721E-17 6.98916E-15 2.13231E-13 2.75022E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05326E-10 2.99999E-04 6.88591E-04 9.98617E-01 1.10884E-04
27 1.29822E-15 1.82862E-07 2.50298E-08 5.37498E-22 9.02359E-12 1.66057E-14 1.11597E-22 5.32303E-11 7.09853E-12 4.97497E-06 9.97247E-05 2.19296E-20 6.96263E-14 1.69733E-16 6.86147E-14 3.66609E-14 1.33001E-15 3.33982E-12 6.00168E-06 2.57631E-15 6.18504E-13 6.84815E-17 6.98931E-15 2.13246E-13 2.75022E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05326E-10 2.99999E-04 6.88639E-04 9.98617E-01 1.10884E-04
28 1.29840E-15 1.82862E-07 2.50298E-08 5.37608E-22 9.02359E-12 1.66068E-14 1.11620E-22 5.32302E-11 7.09890E-12 4.97497E-06 9.97247E-05 2.19341E-20 6.96343E-14 1.69764E-16 6.86147E-14 3.66621E-14 1.33019E-15 3.33982E-12 6.00168E-06 2.57666E-15 6.18536E-13 6.84908E-17 6.98946E-15 2.13261E-13 2.75023E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88686E-04 9.98617E-01 1.10884E-04
29 1.29849E-15 1.82862E-07 2.50298E-08 5.37663E-22 9.02359E-12 1.66073E-14 1.11631E-22 5.32302E-11 7.09909E-12 4.97497E-06 9.97247E-05 2.19364E-20 6.96382E-14 1.69779E-16 6.86147E-14 3.66627E-14 1.33028E-15 3.33982E-12 6.00168E-06 2.57684E-15 6.18552E-13 6.84955E-17 6.98954E-15 2.13268E-13 2.75023E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88710E-04 9.98617E-01 1.10884E-04
30 1.29867E-15 1.82862E-07 2.50298E-08 5.37774E-22 9.02360E-12 1.66085E-14 1.11654E-22 5.32302E-11 7.09947E-12 4.97497E-06 9.97247E-05 2.19409E-20 6.96462E-14 1.69810E-16 6.86148E-14 3.66639E-14 1.33046E-15 3.33982E-12 6.00167E-06 2.57719E-15 6.18585E-13 6.85049E-17 6.98969E-15 2.13282E-13 2.75024E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88757E-04 9.98616E-01 1.10884E-04
31 1.29875E-15 1.82862E-07 2.50298E-08 5.37829E-22 9.02360E-12 1.66090E-14 1.11665E-22 5.32302E-11 7.09966E-12 4.97497E-06 9.97247E-05 2.19431E-20 6.96501E-14 1.69826E-16 6.86148E-14 3.66645E-14 1.33055E-15 3.33983E-12 6.00167E-06 2.57737E-15 6.18601E-13 6.85096E-17 6.98977E-15 2.13290E-13 2.75024E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88780E-04 9.98616E-01 1.10884E-04
