Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
70 3.08993E-19 5.80116E-18 6.93671E-17 1.49704E-18 4.42365E-20 7.90145E-24 2.21359E-23 1.55410E-19 -8.83399E-19 0.00000E+00 7.62905E-17
71 3.09007E-19 5.80636E-18 6.94056E-17 1.49795E-18 4.42613E-20 7.92571E-24 2.21359E-23 1.55800E-19 -8.82322E-19 0.00000E+00 7.63367E-17
72 3.09007E-19 5.80636E-18 6.94056E-17 1.49795E-18 4.42613E-20 7.92571E-24 2.21359E-23 1.55800E-19 -8.82322E-19 0.00000E+00 7.63367E-17
73 3.08999E-19 5.80592E-18 6.93968E-17 1.49777E-18 4.42937E-20 7.94431E-24 2.21359E-23 1.56241E-19 -8.82322E-19 0.00000E+00 7.63277E-17
74 3.08999E-19 5.80592E-18 6.93968E-17 1.49777E-18 4.42937E-20 7.94431E-24 2.21359E-23 1.56241E-19 -8.82322E-19 0.00000E+00 7.63277E-17
75 3.08990E-19 5.80548E-18 6.93879E-17 1.49758E-18 4.43261E-20 7.96301E-24 2.21359E-23 1.56683E-19 -8.82322E-19 0.00000E+00 7.63187E-17
76 3.08990E-19 5.80548E-18 6.93879E-17 1.49758E-18 4.43261E-20 7.96301E-24 2.21359E-23 1.56683E-19 -8.82322E-19 0.00000E+00 7.63187E-17
77 3.08981E-19 5.80504E-18 6.93790E-17 1.49740E-18 4.43585E-20 7.98178E-24 2.21359E-23 1.57127E-19 -8.82322E-19 0.00000E+00 7.63096E-17
78 3.08981E-19 5.80504E-18 6.93790E-17 1.49740E-18 4.43585E-20 7.98178E-24 2.21359E-23 1.57127E-19 -8.82322E-19 0.00000E+00 7.63096E-17
79 3.08994E-19 5.81018E-18 6.94365E-17 1.49871E-18 4.43873E-20 8.00868E-24 2.21359E-23 1.57574E-19 -8.81247E-19 0.00000E+00 7.63751E-17
80 3.08994E-19 5.81018E-18 6.94365E-17 1.49871E-18 4.43873E-20 8.00868E-24 2.21359E-23 1.57574E-19 -8.81247E-19 0.00000E+00 7.63751E-17
81 3.08985E-19 5.80973E-18 6.94275E-17 1.49853E-18 4.44198E-20 8.02767E-24 2.21359E-23 1.58020E-19 -8.81246E-19 0.00000E+00 7.63660E-17
82 3.08985E-19 5.80973E-18 6.94275E-17 1.49853E-18 4.44198E-20 8.02767E-24 2.21359E-23 1.58020E-19 -8.81246E-19 0.00000E+00 7.63660E-17
83 3.08975E-19 5.80928E-18 6.94185E-17 1.49834E-18 4.44523E-20 8.04675E-24 2.21359E-23 1.58468E-19 -8.81246E-19 0.00000E+00 7.63568E-17
84 3.08975E-19 5.80928E-18 6.94185E-17 1.49834E-18 4.44523E-20 8.04675E-24 2.21359E-23 1.58468E-19 -8.81246E-19 0.00000E+00 7.63568E-17
85 3.08965E-19 5.80882E-18 6.94094E-17 1.49815E-18 4.44848E-20 8.06592E-24 2.21359E-23 1.58916E-19 -8.81246E-19 0.00000E+00 7.63475E-17
86 3.08965E-19 5.80882E-18 6.94094E-17 1.49815E-18 4.44848E-20 8.06592E-24 2.21359E-23 1.58916E-19 -8.81246E-19 0.00000E+00 7.63475E-17
87 3.08976E-19 5.81396E-18 6.94663E-17 1.49946E-18 4.45137E-20 8.09325E-24 2.21359E-23 1.59368E-19 -8.80171E-19 0.00000E+00 7.64124E-17
88 3.08976E-19 5.81396E-18 6.94663E-17 1.49946E-18 4.45137E-20 8.09325E-24 2.21359E-23 1.59368E-19 -8.80171E-19 0.00000E+00 7.64124E-17
89 3.08966E-19 5.81350E-18 6.94571E-17 1.49927E-18 4.45462E-20 8.11263E-24 2.21359E-23 1.59819E-19 -8.80171E-19 0.00000E+00 7.64031E-17
90 3.08966E-19 5.81350E-18 6.94571E-17 1.49927E-18 4.45462E-20 8.11263E-24 2.21359E-23 1.59819E-19 -8.80171E-19 0.00000E+00 7.64031E-17
91 3.08955E-19 5.81304E-18 6.94479E-17 1.49907E-18 4.45788E-20 8.13210E-24 2.21359E-23 1.60271E-19 -8.80171E-19 0.00000E+00 7.63937E-17
92 3.08955E-19 5.81304E-18 6.94479E-17 1.49907E-18 4.45788E-20 8.13210E-24 2.21359E-23 1.60271E-19 -8.80171E-19 0.00000E+00 7.63937E-17
93 3.08918E-19 5.81628E-18 6.94732E-17 1.49973E-18 4.47395E-20 8.23984E-24 2.21359E-23 1.62569E-19 -8.79096E-19 0.00000E+00 7.64264E-17
94 3.08875E-19 5.81949E-18 6.94857E-17 1.50011E-18 4.48984E-20 8.34886E-24 2.21359E-23 1.64867E-19 -8.78021E-19 0.00000E+00 7.64459E-17
