Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
107 0.00000E+00 4.24677E-19 1.64300E-17 1.87909E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.64043E-17
108 0.00000E+00 4.23957E-19 1.62912E-17 1.88503E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.62648E-17
109 0.00000E+00 4.23869E-19 1.62522E-17 1.88863E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.62257E-17
110 0.00000E+00 4.21200E-19 1.57950E-17 1.90314E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.57658E-17
111 0.00000E+00 4.19472E-19 1.54874E-17 1.91412E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.54566E-17
112 0.00000E+00 4.18378E-19 1.52792E-17 1.92285E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.52473E-17
113 0.00000E+00 4.13947E-19 1.45355E-17 1.94591E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.44991E-17
114 0.00000E+00 4.13813E-19 1.44741E-17 1.95154E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.44377E-17
115 0.00000E+00 4.13664E-19 1.44049E-17 1.95779E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.43682E-17
116 0.00000E+00 4.12492E-19 1.41675E-17 1.96894E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.41298E-17
117 0.00000E+00 4.07894E-19 1.33867E-17 1.99520E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.33444E-17
118 0.00000E+00 4.07747E-19 1.33174E-17 2.00138E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.32749E-17
119 0.00000E+00 4.06624E-19 1.29706E-17 2.02678E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.29270E-17
120 0.00000E+00 4.01341E-19 1.22676E-17 2.04171E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.22187E-17
121 0.00000E+00 4.01145E-19 1.21723E-17 2.05003E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.21233E-17
122 0.00000E+00 4.00124E-19 1.19668E-17 2.06150E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.19167E-17
123 0.00000E+00 3.87201E-19 1.02465E-17 2.11649E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.01836E-17
124 0.00000E+00 3.87006E-19 1.01542E-17 2.12504E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.00911E-17
125 0.00000E+00 3.86808E-19 1.00588E-17 2.13365E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.99956E-17
126 0.00000E+00 3.86609E-19 9.96088E-18 2.14229E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.98974E-17
127 0.00000E+00 3.86408E-19 9.86062E-18 2.15092E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.97970E-17
128 0.00000E+00 3.85335E-19 9.65289E-18 2.16269E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.95882E-17
129 0.00000E+00 3.84698E-19 9.49793E-18 2.17278E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.94326E-17
130 0.00000E+00 3.81419E-19 9.02976E-18 2.19243E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.89611E-17
131 0.00000E+00 3.78552E-19 8.61725E-18 2.21044E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.85458E-17
132 0.00000E+00 3.77015E-19 8.36482E-18 2.22339E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.82918E-17
133 0.00000E+00 3.75022E-19 8.06346E-18 2.23786E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.79885E-17
134 0.00000E+00 3.72985E-19 7.74791E-18 2.25364E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.76709E-17
135 0.00000E+00 3.70053E-19 7.35254E-18 2.27117E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.72726E-17
136 0.00000E+00 3.68960E-19 7.16629E-18 2.28164E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.70853E-17
137 0.00000E+00 3.68798E-19 7.08386E-18 2.28841E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.70027E-17
138 0.00000E+00 3.66624E-19 6.82040E-18 2.30137E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.67371E-17
139 0.00000E+00 3.64071E-19 6.60105E-18 2.31294E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.65152E-17
140 0.00000E+00 3.59058E-19 6.24346E-18 2.32967E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.61526E-17
141 0.00000E+00 3.58916E-19 6.17310E-18 2.33545E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.60821E-17
142 0.00000E+00 3.56312E-19 5.96451E-18 2.34643E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.58709E-17
143 0.00000E+00 3.53691E-19 5.75952E-18 2.35722E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.56633E-17
144 0.00000E+00 3.48521E-19 5.41858E-18 2.37340E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.53172E-17
145 0.00000E+00 3.48397E-19 5.36023E-18 2.37829E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.52588E-17
146 0.00000E+00 3.42203E-19 4.98140E-18 2.39604E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.48738E-17
147 0.00000E+00 3.45615E-19 5.11509E-18 2.39283E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.50109E-17
148 0.00000E+00 3.45513E-19 5.06716E-18 2.39680E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.49628E-17
149 0.00000E+00 3.40188E-19 4.74941E-18 2.41176E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.46398E-17
150 0.00000E+00 3.40093E-19 4.70652E-18 2.41541E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.45968E-17
151 0.00000E+00 3.37284E-19 4.53025E-18 2.42424E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.44177E-17
152 0.00000E+00 3.34446E-19 4.35654E-18 2.43297E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.42412E-17
153 0.00000E+00 3.34358E-19 4.31956E-18 2.43618E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.42041E-17
154 0.00000E+00 3.34272E-19 4.28378E-18 2.43926E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.41683E-17
155 0.00000E+00 3.34190E-19 4.24917E-18 2.44221E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.41336E-17
156 0.00000E+00 3.28513E-19 3.95167E-18 2.45595E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.38304E-17
157 0.00000E+00 3.28434E-19 3.92097E-18 2.45867E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.37996E-17
158 0.00000E+00 3.28357E-19 3.89128E-18 2.46129E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.37699E-17
159 0.00000E+00 3.25433E-19 3.73190E-18 2.46933E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.36076E-17
160 0.00000E+00 3.22477E-19 3.57428E-18 2.47733E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.34470E-17
161 0.00000E+00 3.22405E-19 3.54889E-18 2.47966E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.34215E-17
162 0.00000E+00 3.22335E-19 3.52433E-18 2.48190E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.33969E-17
163 0.00000E+00 3.22267E-19 3.50056E-18 2.48406E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.33731E-17
164 0.00000E+00 3.22201E-19 3.47755E-18 2.48615E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.33500E-17
165 0.00000E+00 3.22137E-19 3.45528E-18 2.48816E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.33277E-17
166 0.00000E+00 3.16196E-19 3.17862E-18 2.50145E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.30451E-17
167 0.00000E+00 3.16134E-19 3.15898E-18 2.50332E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.30254E-17
