Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
22 5.71457E-13 9.36580E-11 4.33598E-09 1.64195E-15 8.97744E-08 5.35210E-14 1.86784E-15 1.21521E-09 5.22139E-09 4.99566E-06 2.69129E-05 3.60754E-14 1.19358E-08 4.49386E-09 1.24098E-10 7.64748E-10 7.36675E-11 2.66197E-06 5.51659E-06 1.53133E-09 4.32485E-10 2.14889E-11 6.11382E-08 4.52676E-10 2.86386E-05 1.00000E-01 9.27784E-10 4.43838E-05 4.49313E-06 2.48196E-04 1.46910E-02 9.70603E-01 3.75131E-05
23 5.71355E-13 9.35558E-11 4.33689E-09 1.65790E-15 8.99866E-08 5.32812E-14 1.88749E-15 1.20905E-09 5.19701E-09 4.99566E-06 2.68465E-05 3.63334E-14 1.19302E-08 4.51299E-09 1.24059E-10 7.64292E-10 7.39452E-11 2.67916E-06 5.49015E-06 1.54044E-09 4.33765E-10 2.15819E-11 6.15148E-08 4.53281E-10 2.86602E-05 1.00000E-01 9.27580E-10 4.44282E-05 4.50284E-06 2.48124E-04 1.47234E-02 9.70538E-01 3.74205E-05
24 5.71355E-13 9.35558E-11 4.33689E-09 1.65790E-15 8.99866E-08 5.32812E-14 1.88749E-15 1.20905E-09 5.19701E-09 4.99566E-06 2.68465E-05 3.63334E-14 1.19302E-08 4.51299E-09 1.24059E-10 7.64292E-10 7.39452E-11 2.67916E-06 5.49015E-06 1.54044E-09 4.33765E-10 2.15819E-11 6.15148E-08 4.53281E-10 2.86602E-05 1.00000E-01 9.27580E-10 4.44282E-05 4.50284E-06 2.48124E-04 1.47234E-02 9.70538E-01 3.74205E-05
25 5.70710E-13 9.34652E-11 4.34115E-09 1.67456E-15 9.06652E-08 5.29554E-14 1.90754E-15 1.20283E-09 5.16815E-09 4.99566E-06 2.67862E-05 3.67947E-14 1.19131E-08 4.53068E-09 1.24014E-10 7.64977E-10 7.41247E-11 2.69587E-06 5.46365E-06 1.54742E-09 4.33065E-10 2.17532E-11 6.18324E-08 4.52994E-10 2.86800E-05 1.00000E-01 9.25134E-10 4.44684E-05 4.51114E-06 2.48057E-04 1.47717E-02 9.70441E-01 3.73341E-05
26 5.70710E-13 9.34652E-11 4.34115E-09 1.67456E-15 9.06652E-08 5.29554E-14 1.90754E-15 1.20283E-09 5.16815E-09 4.99566E-06 2.67862E-05 3.67947E-14 1.19131E-08 4.53068E-09 1.24014E-10 7.64977E-10 7.41247E-11 2.69587E-06 5.46365E-06 1.54742E-09 4.33065E-10 2.17532E-11 6.18324E-08 4.52994E-10 2.86800E-05 1.00000E-01 9.25134E-10 4.44684E-05 4.51114E-06 2.48057E-04 1.47717E-02 9.70441E-01 3.73341E-05
27 5.70602E-13 9.33625E-11 4.34207E-09 1.69090E-15 9.08806E-08 5.27162E-14 1.92771E-15 1.19667E-09 5.14376E-09 4.99566E-06 2.67195E-05 3.70586E-14 1.19072E-08 4.55001E-09 1.23974E-10 7.64517E-10 7.44045E-11 2.71338E-06 5.43721E-06 1.55667E-09 4.34350E-10 2.18475E-11 6.22152E-08 4.53595E-10 2.87017E-05 1.00000E-01 9.24921E-10 4.45131E-05 4.52093E-06 2.47984E-04 1.48045E-02 9.70375E-01 3.72413E-05
28 5.70602E-13 9.33625E-11 4.34207E-09 1.69090E-15 9.08806E-08 5.27162E-14 1.92771E-15 1.19667E-09 5.14376E-09 4.99566E-06 2.67195E-05 3.70586E-14 1.19072E-08 4.55001E-09 1.23974E-10 7.64517E-10 7.44045E-11 2.71338E-06 5.43721E-06 1.55667E-09 4.34350E-10 2.18475E-11 6.22152E-08 4.53595E-10 2.87017E-05 1.00000E-01 9.24921E-10 4.45131E-05 4.52093E-06 2.47984E-04 1.48045E-02 9.70375E-01 3.72413E-05
29 5.70492E-13 9.32598E-11 4.34299E-09 1.70743E-15 9.10969E-08 5.24773E-14 1.94812E-15 1.19052E-09 5.11939E-09 4.99566E-06 2.66526E-05 3.73248E-14 1.19012E-08 4.56943E-09 1.23933E-10 7.64053E-10 7.46855E-11 2.73104E-06 5.41079E-06 1.56598E-09 4.35640E-10 2.19422E-11 6.26010E-08 4.54195E-10 2.87234E-05 1.00000E-01 9.24704E-10 4.45578E-05 4.53077E-06 2.47911E-04 1.48375E-02 9.70309E-01 3.71484E-05
30 5.70492E-13 9.32598E-11 4.34299E-09 1.70743E-15 9.10969E-08 5.24773E-14 1.94812E-15 1.19052E-09 5.11939E-09 4.99566E-06 2.66526E-05 3.73248E-14 1.19012E-08 4.56943E-09 1.23933E-10 7.64053E-10 7.46855E-11 2.73104E-06 5.41079E-06 1.56598E-09 4.35640E-10 2.19422E-11 6.26010E-08 4.54195E-10 2.87234E-05 1.00000E-01 9.24704E-10 4.45578E-05 4.53077E-06 2.47911E-04 1.48375E-02 9.70309E-01 3.71484E-05
31 5.70378E-13 9.31571E-11 4.34392E-09 1.72415E-15 9.13139E-08 5.22387E-14 1.96878E-15 1.18438E-09 5.09503E-09 4.99566E-06 2.65857E-05 3.75932E-14 1.18950E-08 4.58895E-09 1.23892E-10 7.63586E-10 7.49676E-11 2.74885E-06 5.38440E-06 1.57537E-09 4.36935E-10 2.20374E-11 6.29898E-08 4.54794E-10 2.87451E-05 1.00000E-01 9.24483E-10 4.46026E-05 4.54064E-06 2.47838E-04 1.48706E-02 9.70243E-01 3.70555E-05
32 5.70378E-13 9.31571E-11 4.34392E-09 1.72415E-15 9.13139E-08 5.22387E-14 1.96878E-15 1.18438E-09 5.09503E-09 4.99566E-06 2.65857E-05 3.75932E-14 1.18950E-08 4.58895E-09 1.23892E-10 7.63586E-10 7.49676E-11 2.74885E-06 5.38440E-06 1.57537E-09 4.36935E-10 2.20374E-11 6.29898E-08 4.54794E-10 2.87451E-05 1.00000E-01 9.24483E-10 4.46026E-05 4.54064E-06 2.47838E-04 1.48706E-02 9.70243E-01 3.70555E-05
33 5.70262E-13 9.30542E-11 4.34485E-09 1.74105E-15 9.15318E-08 5.20003E-14 1.98970E-15 1.17824E-09 5.07068E-09 4.99566E-06 2.65187E-05 3.78637E-14 1.18888E-08 4.60857E-09 1.23849E-10 7.63115E-10 7.52509E-11 2.76681E-06 5.35803E-06 1.58481E-09 4.38235E-10 2.21329E-11 6.33816E-08 4.55391E-10 2.87668E-05 1.00000E-01 9.24257E-10 4.46475E-05 4.55056E-06 2.47764E-04 1.49039E-02 9.70177E-01 3.69625E-05
34 5.70262E-13 9.30542E-11 4.34485E-09 1.74105E-15 9.15318E-08 5.20003E-14 1.98970E-15 1.17824E-09 5.07068E-09 4.99566E-06 2.65187E-05 3.78637E-14 1.18888E-08 4.60857E-09 1.23849E-10 7.63115E-10 7.52509E-11 2.76681E-06 5.35803E-06 1.58481E-09 4.38235E-10 2.21329E-11 6.33816E-08 4.55391E-10 2.87668E-05 1.00000E-01 9.24257E-10 4.46475E-05 4.55056E-06 2.47764E-04 1.49039E-02 9.70177E-01 3.69625E-05
35 5.69613E-13 9.29687E-11 4.34910E-09 1.75774E-15 9.22130E-08 5.16917E-14 2.00982E-15 1.17239E-09 5.04332E-09 4.99565E-06 2.64616E-05 3.83310E-14 1.18714E-08 4.62560E-09 1.23803E-10 7.63838E-10 7.54175E-11 2.78326E-06 5.33309E-06 1.59151E-09 4.37462E-10 2.23036E-11 6.36908E-08 4.55053E-10 2.87853E-05 1.00000E-01 9.21807E-10 4.46858E-05 4.55848E-06 2.47700E-04 1.49513E-02 9.70082E-01 3.68807E-05
36 5.69613E-13 9.29687E-11 4.34910E-09 1.75774E-15 9.22130E-08 5.16917E-14 2.00982E-15 1.17239E-09 5.04332E-09 4.99565E-06 2.64616E-05 3.83310E-14 1.18714E-08 4.62560E-09 1.23803E-10 7.63838E-10 7.54175E-11 2.78326E-06 5.33309E-06 1.59151E-09 4.37462E-10 2.23036E-11 6.36908E-08 4.55053E-10 2.87853E-05 1.00000E-01 9.21807E-10 4.46858E-05 4.55848E-06 2.47700E-04 1.49513E-02 9.70082E-01 3.68807E-05
37 5.69491E-13 9.28656E-11 4.35005E-09 1.77504E-15 9.24340E-08 5.14540E-14 2.03126E-15 1.16626E-09 5.01898E-09 4.99565E-06 2.63944E-05 3.86078E-14 1.18649E-08 4.64541E-09 1.23760E-10 7.63363E-10 7.57028E-11 2.80155E-06 5.30674E-06 1.60109E-09 4.38767E-10 2.24004E-11 6.40888E-08 4.55646E-10 2.88070E-05 1.00000E-01 9.21573E-10 4.47309E-05 4.56848E-06 2.47626E-04 1.49849E-02 9.70015E-01 3.67875E-05
38 5.69491E-13 9.28656E-11 4.35005E-09 1.77504E-15 9.24340E-08 5.14540E-14 2.03126E-15 1.16626E-09 5.01898E-09 4.99565E-06 2.63944E-05 3.86078E-14 1.18649E-08 4.64541E-09 1.23760E-10 7.63363E-10 7.57028E-11 2.80155E-06 5.30674E-06 1.60109E-09 4.38767E-10 2.24004E-11 6.40888E-08 4.55646E-10 2.88070E-05 1.00000E-01 9.21573E-10 4.47309E-05 4.56848E-06 2.47626E-04 1.49849E-02 9.70015E-01 3.67875E-05
39 5.69366E-13 9.27624E-11 4.35100E-09 1.79255E-15 9.26560E-08 5.12166E-14 2.05296E-15 1.16014E-09 4.99466E-09 4.99565E-06 2.63270E-05 3.88868E-14 1.18583E-08 4.66533E-09 1.23715E-10 7.62886E-10 7.59892E-11 2.81999E-06 5.28041E-06 1.61074E-09 4.40077E-10 2.24977E-11 6.44901E-08 4.56238E-10 2.88288E-05 1.00000E-01 9.21334E-10 4.47761E-05 4.57852E-06 2.47551E-04 1.50187E-02 9.69947E-01 3.66942E-05
40 5.69366E-13 9.27624E-11 4.35100E-09 1.79255E-15 9.26560E-08 5.12166E-14 2.05296E-15 1.16014E-09 4.99466E-09 4.99565E-06 2.63270E-05 3.88868E-14 1.18583E-08 4.66533E-09 1.23715E-10 7.62886E-10 7.59892E-11 2.81999E-06 5.28041E-06 1.61074E-09 4.40077E-10 2.24977E-11 6.44901E-08 4.56238E-10 2.88288E-05 1.00000E-01 9.21334E-10 4.47761E-05 4.57852E-06 2.47551E-04 1.50187E-02 9.69947E-01 3.66942E-05
41 5.69238E-13 9.26591E-11 4.35196E-09 1.81025E-15 9.28787E-08 5.09795E-14 2.07493E-15 1.15402E-09 4.97034E-09 4.99565E-06 2.62595E-05 3.91681E-14 1.18515E-08 4.68534E-09 1.23670E-10 7.62405E-10 7.62767E-11 2.83859E-06 5.25410E-06 1.62045E-09 4.41392E-10 2.25955E-11 6.48944E-08 4.56827E-10 2.88505E-05 1.00000E-01 9.21092E-10 4.48214E-05 4.58860E-06 2.47476E-04 1.50526E-02 9.69879E-01 3.66008E-05
42 5.69238E-13 9.26591E-11 4.35196E-09 1.81025E-15 9.28787E-08 5.09795E-14 2.07493E-15 1.15402E-09 4.97034E-09 4.99565E-06 2.62595E-05 3.91681E-14 1.18515E-08 4.68534E-09 1.23670E-10 7.62405E-10 7.62767E-11 2.83859E-06 5.25410E-06 1.62045E-09 4.41392E-10 2.25955E-11 6.48944E-08 4.56827E-10 2.88505E-05 1.00000E-01 9.21092E-10 4.48214E-05 4.58860E-06 2.47476E-04 1.50526E-02 9.69879E-01 3.66008E-05
43 5.68579E-13 9.25698E-11 4.35628E-09 1.82828E-15 9.35796E-08 5.06665E-14 2.09677E-15 1.14800E-09 4.94235E-09 4.99564E-06 2.61999E-05 3.96622E-14 1.18335E-08 4.70334E-09 1.23620E-10 7.63124E-10 7.64547E-11 2.85623E-06 5.22841E-06 1.62765E-09 4.40663E-10 2.27730E-11 6.52269E-08 4.56494E-10 2.88698E-05 1.00000E-01 9.18621E-10 4.48615E-05 4.59698E-06 2.47409E-04 1.51019E-02 9.69781E-01 3.65158E-05
44 5.68579E-13 9.25698E-11 4.35628E-09 1.82828E-15 9.35796E-08 5.06665E-14 2.09677E-15 1.14800E-09 4.94235E-09 4.99564E-06 2.61999E-05 3.96622E-14 1.18335E-08 4.70334E-09 1.23620E-10 7.63124E-10 7.64547E-11 2.85623E-06 5.22841E-06 1.62765E-09 4.40663E-10 2.27730E-11 6.52269E-08 4.56494E-10 2.88698E-05 1.00000E-01 9.18621E-10 4.48615E-05 4.59698E-06 2.47409E-04 1.51019E-02 9.69781E-01 3.65158E-05
45 5.68446E-13 9.24663E-11 4.35725E-09 1.84642E-15 9.38057E-08 5.04300E-14 2.11930E-15 1.14190E-09 4.91804E-09 4.99564E-06 2.61321E-05 3.99500E-14 1.18265E-08 4.72356E-09 1.23573E-10 7.62639E-10 7.67443E-11 2.87517E-06 5.20212E-06 1.63750E-09 4.41983E-10 2.28721E-11 6.56379E-08 4.57080E-10 2.88915E-05 1.00000E-01 9.18369E-10 4.49070E-05 4.60715E-06 2.47333E-04 1.51362E-02 9.69712E-01 3.64221E-05
46 5.68446E-13 9.24663E-11 4.35725E-09 1.84642E-15 9.38057E-08 5.04300E-14 2.11930E-15 1.14190E-09 4.91804E-09 4.99564E-06 2.61321E-05 3.99500E-14 1.18265E-08 4.72356E-09 1.23573E-10 7.62639E-10 7.67443E-11 2.87517E-06 5.20212E-06 1.63750E-09 4.41983E-10 2.28721E-11 6.56379E-08 4.57080E-10 2.88915E-05 1.00000E-01 9.18369E-10 4.49070E-05 4.60715E-06 2.47333E-04 1.51362E-02 9.69712E-01 3.64221E-05
47 5.68309E-13 9.23626E-11 4.35823E-09 1.86477E-15 9.40327E-08 5.01939E-14 2.14212E-15 1.13580E-09 4.89375E-09 4.99564E-06 2.60643E-05 4.02403E-14 1.18193E-08 4.74388E-09 1.23526E-10 7.62150E-10 7.70351E-11 2.89428E-06 5.17585E-06 1.64742E-09 4.43309E-10 2.29716E-11 6.60522E-08 4.57663E-10 2.89133E-05 1.00000E-01 9.18113E-10 4.49526E-05 4.61736E-06 2.47257E-04 1.51706E-02 9.69643E-01 3.63284E-05
48 5.68309E-13 9.23626E-11 4.35823E-09 1.86477E-15 9.40327E-08 5.01939E-14 2.14212E-15 1.13580E-09 4.89375E-09 4.99564E-06 2.60643E-05 4.02403E-14 1.18193E-08 4.74388E-09 1.23526E-10 7.62150E-10 7.70351E-11 2.89428E-06 5.17585E-06 1.64742E-09 4.43309E-10 2.29716E-11 6.60522E-08 4.57663E-10 2.89133E-05 1.00000E-01 9.18113E-10 4.49526E-05 4.61736E-06 2.47257E-04 1.51706E-02 9.69643E-01 3.63284E-05
49 5.68169E-13 9.22589E-11 4.35922E-09 1.88333E-15 9.42605E-08 4.99580E-14 2.16522E-15 1.12971E-09 4.86947E-09 4.99564E-06 2.59964E-05 4.05329E-14 1.18120E-08 4.76430E-09 1.23478E-10 7.61658E-10 7.73271E-11 2.91355E-06 5.14961E-06 1.65742E-09 4.44639E-10 2.30716E-11 6.64697E-08 4.58245E-10 2.89351E-05 1.00000E-01 9.17852E-10 4.49984E-05 4.62762E-06 2.47181E-04 1.52052E-02 9.69574E-01 3.62347E-05
50 5.68169E-13 9.22589E-11 4.35922E-09 1.88333E-15 9.42605E-08 4.99580E-14 2.16522E-15 1.12971E-09 4.86947E-09 4.99564E-06 2.59964E-05 4.05329E-14 1.18120E-08 4.76430E-09 1.23478E-10 7.61658E-10 7.73271E-11 2.91355E-06 5.14961E-06 1.65742E-09 4.44639E-10 2.30716E-11 6.64697E-08 4.58245E-10 2.89351E-05 1.00000E-01 9.17852E-10 4.49984E-05 4.62762E-06 2.47181E-04 1.52052E-02 9.69574E-01 3.62347E-05
