Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
22 1.49984E-16 5.47618E-07 5.40468E-09 1.63647E-24 2.79872E-13 1.09639E-14 3.60930E-25 7.81458E-10 1.87745E-11 4.99460E-06 9.99590E-05 1.15491E-23 3.32883E-14 1.42028E-17 1.25056E-14 7.23792E-14 2.75648E-17 1.92257E-14 2.26955E-05 6.93111E-17 4.82474E-14 2.92146E-19 2.74670E-16 3.60070E-14 4.10274E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22217E-04 9.99733E-01 1.28197E-04
23 1.49987E-16 5.47618E-07 5.40468E-09 1.63653E-24 2.79872E-13 1.09640E-14 3.60943E-25 7.81458E-10 1.87747E-11 4.99460E-06 9.99590E-05 1.15495E-23 3.32890E-14 1.42033E-17 1.25056E-14 7.23800E-14 2.75655E-17 1.92257E-14 2.26955E-05 6.93128E-17 4.82478E-14 2.92153E-19 2.74673E-16 3.60074E-14 4.10275E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22219E-04 9.99733E-01 1.28197E-04
24 1.49989E-16 5.47618E-07 5.40468E-09 1.63656E-24 2.79872E-13 1.09641E-14 3.60950E-25 7.81458E-10 1.87748E-11 4.99460E-06 9.99590E-05 1.15497E-23 3.32894E-14 1.42035E-17 1.25056E-14 7.23804E-14 2.75658E-17 1.92257E-14 2.26955E-05 6.93136E-17 4.82480E-14 2.92156E-19 2.74674E-16 3.60076E-14 4.10275E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22219E-04 9.99733E-01 1.28197E-04
25 1.49992E-16 5.47618E-07 5.40468E-09 1.63662E-24 2.79872E-13 1.09642E-14 3.60963E-25 7.81458E-10 1.87750E-11 4.99460E-06 9.99590E-05 1.15501E-23 3.32902E-14 1.42040E-17 1.25056E-14 7.23812E-14 2.75665E-17 1.92257E-14 2.26955E-05 6.93153E-17 4.82485E-14 2.92163E-19 2.74677E-16 3.60081E-14 4.10276E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22221E-04 9.99733E-01 1.28197E-04
26 1.49994E-16 5.47618E-07 5.40468E-09 1.63665E-24 2.79872E-13 1.09642E-14 3.60970E-25 7.81457E-10 1.87751E-11 4.99460E-06 9.99590E-05 1.15504E-23 3.32906E-14 1.42043E-17 1.25056E-14 7.23816E-14 2.75668E-17 1.92257E-14 2.26955E-05 6.93162E-17 4.82487E-14 2.92167E-19 2.74679E-16 3.60083E-14 4.10276E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22222E-04 9.99733E-01 1.28197E-04
27 1.49997E-16 5.47618E-07 5.40468E-09 1.63671E-24 2.79872E-13 1.09643E-14 3.60983E-25 7.81457E-10 1.87754E-11 4.99460E-06 9.99590E-05 1.15508E-23 3.32914E-14 1.42048E-17 1.25056E-14 7.23824E-14 2.75675E-17 1.92257E-14 2.26955E-05 6.93179E-17 4.82492E-14 2.92174E-19 2.74682E-16 3.60087E-14 4.10276E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22223E-04 9.99733E-01 1.28197E-04
28 1.50001E-16 5.47618E-07 5.40468E-09 1.63677E-24 2.79872E-13 1.09644E-14 3.60996E-25 7.81457E-10 1.87756E-11 4.99460E-06 9.99590E-05 1.15512E-23 3.32922E-14 1.42053E-17 1.25056E-14 7.23832E-14 2.75681E-17 1.92257E-14 2.26955E-05 6.93196E-17 4.82496E-14 2.92181E-19 2.74685E-16 3.60092E-14 4.10277E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22225E-04 9.99733E-01 1.28197E-04
29 1.50002E-16 5.47618E-07 5.40468E-09 1.63680E-24 2.79872E-13 1.09645E-14 3.61003E-25 7.81457E-10 1.87757E-11 4.99460E-06 9.99590E-05 1.15514E-23 3.32926E-14 1.42055E-17 1.25056E-14 7.23836E-14 2.75685E-17 1.92257E-14 2.26955E-05 6.93204E-17 4.82499E-14 2.92185E-19 2.74686E-16 3.60094E-14 4.10277E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22225E-04 9.99733E-01 1.28197E-04
30 1.50006E-16 5.47618E-07 5.40468E-09 1.63686E-24 2.79872E-13 1.09646E-14 3.61016E-25 7.81457E-10 1.87759E-11 4.99460E-06 9.99590E-05 1.15518E-23 3.32933E-14 1.42061E-17 1.25056E-14 7.23844E-14 2.75691E-17 1.92257E-14 2.26955E-05 6.93221E-17 4.82503E-14 2.92192E-19 2.74689E-16 3.60098E-14 4.10277E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22227E-04 9.99733E-01 1.28197E-04
31 1.50007E-16 5.47618E-07 5.40468E-09 1.63689E-24 2.79872E-13 1.09647E-14 3.61023E-25 7.81457E-10 1.87760E-11 4.99460E-06 9.99590E-05 1.15521E-23 3.32937E-14 1.42063E-17 1.25056E-14 7.23848E-14 2.75695E-17 1.92257E-14 2.26955E-05 6.93230E-17 4.82505E-14 2.92196E-19 2.74690E-16 3.60101E-14 4.10278E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22228E-04 9.99733E-01 1.28197E-04
