Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
316,1294.24,1000.0,1.58782e-10,1.0328399999999999e-13,100000.0,-3.180069963e+19,15909999996928.0,2526221.619512222,1643.2484396827115,1.5909999996928e+16,136154161.57983738,88607.29992989423,8.58649999998976e+17,858649999998976.0
331,1294.05,1000.0,1.58903e-10,1.03335e-13,100000.0,-3.180046112e+19,15900000002048.0,2526557.700325433,1643.02650021163,1.5900000002048e+16,174040664.47,113248.02258000002,1.09716e+18,1097160000000000.0
346,1293.85,1000.0,1.59024e-10,1.0338599999999999e-13,100000.0,-3.180022261e+19,15900000002048.0,2528481.600325681,1643.8374002117343,1.5900000002048e+16,211956058.7101628,137900.89327010588,1.335670000001024e+18,1335670000001024.0
361,1293.66,1000.0,1.59146e-10,1.0343699999999998e-13,100000.0,-3.17999841e+19,15900000002048.0,2530421.400325931,1644.6483002118387,1.5900000002048e+16,249900407.90032592,162565.92790021186,1.574180000002048e+18,1574180000002048.0
376,1293.6,1000.0,1.60043e-10,1.0387699999999999e-13,100000.0,-3.179774209e+19,159010000003072.0,25448437.430491652,16517.481770319107,1.59010000003072e+17,607804453.7801645,395003.69089010655,3.816190000001024e+18,3816190000001024.0
391,1293.43,1000.0,1.6102000000000003e-10,1.0435e-13,100000.0,-3.179535697e+19,159010000003072.0,25603790.20049466,16592.693500320565,1.59010000003072e+17,990807977.2501658,643369.7348501075,6.201310000001024e+18,6201310000001024.0
406,1291.48,1000.0,1.6225299999999998e-10,1.0486400000000001e-13,100000.0,-3.179297186e+19,159000000004096.0,25798227.000664584,16673.376000429525,1.59000000004096e+17,1376424928.0503333,892909.4828102153,8.586420000002048e+18,8586420000002048.0
421,1289.55,1000.0,1.6349499999999999e-10,1.05382e-13,100000.0,-3.179058674e+19,159010000003072.0,25997339.950502254,16756.791820323735,1.59010000003072e+17,1764995159.4503357,1143681.1572402162,1.0971540000002048e+19,1.0971540000002048e+16
436,1287.61,1000.0,1.64746e-10,1.05901e-13,100000.0,-3.178820162e+19,159010000003072.0,26196261.4605061,16839.31801032533,1.59010000003072e+17,2156539162.620337,1395689.7566302167,1.3356660000002048e+19,1.3356660000002048e+16
451,1287.43,1000.0,1.6575200000000001e-10,1.0638299999999999e-13,100000.0,-3.178581651e+19,159000000000000.0,26354568.000000004,16914.896999999997,1.59e+17,2550714046.05983,1648882.0618598908,1.5741769999998976e+19,1.5741769999998976e+16
466,1276.31,1000.0,1.7698099999999998e-10,1.11249e-13,100000.0,-3.176339641e+19,1590070000001024.0,281412178.6701812,176893.6974301139,1.590070000001024e+18,6400351066.990192,4092009.560190118,3.816187000000102e+19,3.816187000000102e+16
481,1262.39,1000.0,1.9012900000000004e-10,1.16727e-13,100000.0,-3.173954524e+19,1590080000000000.0,302320320.32000005,185605.26816,1.59008e+18,10785153303.900003,6814315.30598,6.201304e+19,6.201304e+16
496,1250.29,1000.0,2.0395e-10,1.22428e-13,100000.0,-3.171569407e+19,1590080000000000.0,324296816.0,194670.31423999998,1.59008e+18,15489147806.349804,9669656.520959875,8.586420999999898e+19,8.586420999999898e+16
511,1238.27,1000.0,2.18782e-10,1.2840899999999998e-13,100000.0,-3.16918429e+19,1590080000000000.0,347880882.56,204180.58271999995,1.59008e+18,20537192285.480457,12664783.09471026,1.0971538000000205e+20,1.0971538000000205e+17
526,1226.34,1000.0,2.34698e-10,1.34684e-13,100000.0,-3.166799173e+19,1590080000000000.0,373188595.84000003,214158.33472,1.59008e+18,25955640673.670246,15806718.394040132,1.3356655000000102e+20,1.3356655000000102e+17
541,1214.48,1000.0,2.51777e-10,1.41266e-13,100000.0,-3.164414056e+19,1590080000000000.0,400345572.16,224624.24128000002,1.59008e+18,31772880648.020016,19102848.336249996,1.5741772e+20,1.5741772e+17
556,1088.1,1000.0,4.95436e-10,2.22406e-13,100000.0,-3.141993958e+19,1.5900779999997952e+16,7877818840.078984,3536428.8766795443,1.5900779999997952e+19,114386755086.03896,59810511.45386954,3.81618699999998e+20,3.8161869999999795e+17
571,962.934,1000.0,1.00577e-09,3.61089e-13,100000.0,-3.118142789e+19,1.5900780000002048e+16,15992527500.602058,5741596.74942074,1.5900780000002048e+19,290154001065.7011,129198793.26545039,6.201303900000012e+20,6.20130390000001e+17
586,857.8610000000001,1000.0,2.0644e-09,5.85319e-13,100000.0,-3.09429162e+19,1.5900779999997952e+16,32825570231.995773,9307028.648818802,1.5900779999997952e+19,649390928758.7999,241685024.9085,8.586420800000004e+20,8.5864208e+17
601,763.7739999999999,1000.0,4.23074e-09,9.49259e-13,100000.0,-3.070440452e+19,1.5900769999998976e+16,67272023669.79566,15093949.029429028,1.5900769999998976e+19,1387440036028.9001,424123387.4377,1.0971537600000005e+21,1.09715376e+18
616,678.5319999999999,1000.0,8.59498e-09,1.5409600000000001e-12,100000.0,-3.046589283e+19,1.5900779999997952e+16,136666886084.38242,24502465.948796846,1.5900779999997952e+19,2893142701747.6914,720186675.0379987,1.3356654499999994e+21,1.335665449999999e+18
631,603.325,1000.0,1.7235200000000003e-08,2.50167e-12,100000.0,-3.022738114e+19,1.5900780000002048e+16,274053123456.0353,39778504.30260513,1.5900780000002048e+19,5926469979507.737,1200713791.9617057,1.574177140000003e+21,1.574177140000002e+18
646,178.632,1000.0,0.00674185,1.7519e-10,100000.0,-2.798537128e+19,1.5900779000000102e+17,1.0720066690115068e+18,27856574730.100178,1.5900779000000102e+20,2.1965646308685476e+18,113914025800.96362,3.816187e+21,3.816187e+18
661,78.3935,1000.0,0.0977973,6.299819999999999e-08,100000.0,-2.560025441e+19,1.5900779000000102e+17,1.55505325409671e+19,10017204555978.064,1.5900779000000102e+20,1.746683886520386e+20,31503077664243.35,6.201303870000005e+21,6.201303870000001e+18
676,26.1181,1000.0,0.09598380000000001,6.33052e-06,100000.0,-2.321513754e+19,1.5900779000000102e+17,1.52621719138021e+19,1006601994750806.5,1.5900779000000102e+20,4.060107482531967e+20,4566080951948422.0,8.586420740000012e+21,8.586420740000002e+18
691,21.6717,1000.0,0.09528660000000001,1.66945e-05,100000.0,-2.083002067e+19,1.5900779000000102e+17,1.51513116826141e+19,2654555550155017.0,1.5900779000000102e+20,6.337321665322784e+20,3.699228862039319e+16,1.0971537610000015e+22,1.097153761e+19
706,22.0236,1000.0,0.0953658,1.6956400000000003e-05,100000.0,-1.84449038e+19,1.5900779000000102e+17,1.5163905099582097e+19,2696199690356017.5,1.5900779000000102e+20,8.610543480495416e+20,7.73548422736722e+16,1.3356654480000022e+22,1.335665448e+19
721,22.5564,1000.0,0.0954317,1.68085e-05,100000.0,-1.605978693e+19,1.5900779000000102e+17,1.5174383712943096e+19,2672682438215017.0,1.5900779000000102e+20,1.0885737787322439e+21,1.1763587263192322e+17,1.574177135000003e+22,1.574177135e+19
736,25.5745,1000.0,0.095946,1.6519100000000002e-05,100000.0,6.360311655e+18,1.590077914000001e+18,1.525616155366441e+20,2.626665606915742e+16,1.590077914000001e+21,3.2353448075288227e+21,4.8982917840677504e+17,3.816186993500002e+22,3.8161869934999994e+19
751,26.5528,1000.0,0.0960944,1.64491e-05,100000.0,1.733184926e+19,1.5900778999999898e+17,1.5279758175375903e+19,2615535038488983.5,1.5900778999999896e+20,4.2889344878901236e+21,6.706481480307031e+17,4.913340754000003e+22,4.913340753999998e+19
766,26.7588,1000.0,0.0961229,1.64345e-05,100000.0,1.971696613e+19,1.5900779000000102e+17,1.5284289897391098e+19,2613213524755016.5,1.5900779000000102e+20,4.5181580686758054e+21,7.098672448544699e+17,5.1518524410000036e+22,5.151852440999995e+19
781,26.9647,1000.0,0.096151,1.64196e-05,100000.0,2.2102083e+19,1.5900779000000102e+17,1.5288758016290097e+19,2610844308684017.0,1.5900779000000102e+20,4.747444775554544e+21,7.490536178748352e+17,5.3903641280000035e+22,5.390364127999992e+19
796,27.1707,1000.0,0.09617869999999999,1.6404500000000002e-05,100000.0,2.448719987e+19,1.5900779000000102e+17,1.5293162532073097e+19,2608443291055017.0,1.5900779000000102e+20,4.976793781685825e+21,7.882066946637501e+17,5.6288758150000026e+22,5.628875814999989e+19
811,27.3509,1000.0,0.0962061,1.6389000000000002e-05,100000.0,2.687231674e+19,1.5900778999999693e+17,1.5297519345518705e+19,2605978670309949.5,1.5900778999999693e+20,5.206204292030828e+21,8.273259663962088e+17,5.867387502000002e+22,5.8673875019999855e+19
826,27.5312,1000.0,0.0962196,1.6381199999999998e-05,100000.0,2.925743361e+19,1.5900778999999693e+17,1.5299665950683703e+19,2604738409547949.0,1.5900778999999693e+20,5.435671377348063e+21,8.664131662571148e+17,6.105899189000002e+22,6.105899188999982e+19
841,27.6341,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.035458737e+19,1.5900769999998976e+16,1.5301787994099016e+18,260349667517983.22,1.5900769999998976e+19,5.541253775134141e+21,8.84377303631099e+17,6.215614565000003e+22,6.215614564999982e+19
856,27.6341,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.059309906e+19,1.5900779999997952e+16,1.530179761739803e+18,260349831251966.44,1.5900779999997952e+19,5.56420647059791e+21,8.882825509361454e+17,6.239465734000005e+22,6.239465733999985e+19
871,27.6599,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.083161075e+19,1.5900780000002048e+16,1.530179761740197e+18,260349831252033.5,1.5900780000002048e+19,5.58715916606168e+21,8.92187798241192e+17,6.2633169030000086e+22,6.263316902999987e+19
886,27.6856,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.107012244e+19,1.5900779999997952e+16,1.530179761739803e+18,260349831251966.44,1.5900779999997952e+19,5.610111861525449e+21,8.960930455462383e+17,6.287168072000011e+22,6.287168071999989e+19
901,27.7114,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.130863412e+19,1.5900779999997952e+16,1.530179761739803e+18,260349831251966.44,1.5900779999997952e+19,5.633064556026888e+21,8.999982926875507e+17,6.311019240000013e+22,6.311019239999991e+19
916,27.7114,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.154714581e+19,1.5900779999997952e+16,1.530179761739803e+18,260349831251966.44,1.5900779999997952e+19,5.656017251490658e+21,9.039035399925971e+17,6.3348704090000156e+22,6.334870408999993e+19
931,27.7243,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.165686119e+19,1590080000000000.0,1.5301816864e+17,26035015871999.996,1.59008e+18,5.666575491654194e+21,9.056999537954893e+17,6.345841947000017e+22,6.345841946999994e+19
946,27.7243,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.168071235e+19,1590070000001024.0,1.5301720631009853e+17,26034852138016.76,1.590070000001024e+18,5.668870760334468e+21,9.060904783786332e+17,6.348227063000018e+22,6.3482270629999935e+19
961,27.7307,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.170456352e+19,1590070000001024.0,1.5301720631009853e+17,26034852138016.76,1.590070000001024e+18,5.671166029977071e+21,9.064810031255112e+17,6.350612180000019e+22,6.350612179999993e+19
976,27.7307,1000.0,0.096233,1.6373399999999998e-05,100000.0,3.172841469e+19,1590080000000000.0,1.5301816864e+17,26035015871999.996,1.59008e+18,5.673461299619675e+21,9.068715278723891e+17,6.35299729700002e+22,6.3529972969999925e+19
991,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.175226586e+19,1590080000000000.0,1.53039475712e+17,26022295232000.0,1.59008e+18,5.675756867560893e+21,9.072618745305471e+17,6.355382414000021e+22,6.355382413999992e+19
1006,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.177611703e+19,1590080000000000.0,1.53039475712e+17,26022295232000.0,1.59008e+18,5.678052456809184e+21,9.07652208468065e+17,6.357767531000022e+22,6.357767530999992e+19
1021,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.178708857e+19,159009999998976.0,1.5304140063901444e+16,2602262253983.242,1.59009999998976e+17,5.679108428036643e+21,9.078317621087808e+17,6.358864685000021e+22,6.358864684999991e+19
