Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
796,13.815,1000.0,0.49768599999999996,7.5565e-05,1.7,2.448719987e+19,1.5900779000000102e+17,7.91359509739405e+19,1.2015423651350078e+16,1.5900779000000102e+20,2.7962164318741224e+22,4.3198612338175283e+18,5.6288758150000026e+22,5.628875814999989e+19
811,13.9788,1000.0,0.497758,7.53204e-05,1.7,2.687231674e+19,1.5900778999999693e+17,7.914739953481846e+19,1.197653034591577e+16,1.5900778999999693e+20,2.9149236189901e+22,4.4999826203115136e+18,5.867387502000002e+22,5.8673875019999855e+19
826,14.1121,1000.0,0.497758,7.53204e-05,1.7,2.925743361e+19,1.5900778999999693e+17,7.914739953481846e+19,1.197653034591577e+16,1.5900778999999693e+20,3.0336438288442234e+22,4.679660772585982e+18,6.105899189000002e+22,6.105899188999982e+19
841,14.2035,1000.0,0.497758,7.53204e-05,1.7,3.035458737e+19,1.5900769999998976e+16,7.91473547365949e+18,1197652356707922.8,1.5900769999998976e+19,3.0882561869031716e+22,4.762276158139833e+18,6.215614565000003e+22,6.215614564999982e+19
856,14.2149,1000.0,0.497758,7.53204e-05,1.7,3.059309906e+19,1.5900779999997952e+16,7.91474045123898e+18,1197653109911845.8,1.5900779999997952e+19,3.100128297082275e+22,4.780240954035311e+18,6.239465734000005e+22,6.239465733999985e+19
871,14.2149,1000.0,0.497758,7.53204e-05,1.7,3.083161075e+19,1.5900780000002048e+16,7.914740451241019e+18,1197653109912154.2,1.5900780000002048e+19,3.1120004072613786e+22,4.798205749930789e+18,6.2633169030000086e+22,6.263316902999987e+19
886,14.2153,1000.0,0.497792,7.52024e-05,1.7,3.107012244e+19,1.5900779999997952e+16,7.915281077758981e+18,1195776817871846.0,1.5900779999997952e+19,3.1238726255657857e+22,4.816166793242186e+18,6.287168072000011e+22,6.287168071999989e+19
901,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.130863412e+19,1.5900779999997952e+16,7.915837605058981e+18,1193797170761846.2,1.5900779999997952e+19,3.1357459977689587e+22,4.834087384219661e+18,6.311019240000013e+22,6.311019239999991e+19
916,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.154714581e+19,1.5900779999997952e+16,7.915837605058981e+18,1193797170761846.2,1.5900779999997952e+19,3.147619753678721e+22,4.851994341030309e+18,6.3348704090000156e+22,6.334870408999993e+19
931,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.165686119e+19,1590080000000000.0,7.9158475616e+17,119379867231999.98,1.59008e+18,3.1530816815266462e+22,4.860231541358412e+18,6.345841947000017e+22,6.345841946999994e+19
946,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.168071235e+19,1590070000001024.0,7.915797778905097e+17,119379116453076.88,1.590070000001024e+18,3.1542690566695775e+22,4.862022236363778e+18,6.348227063000018e+22,6.3482270629999935e+19
961,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.170456352e+19,1590070000001024.0,7.915797778905097e+17,119379116453076.88,1.590070000001024e+18,3.155456432310336e+22,4.863812932119924e+18,6.350612180000019e+22,6.350612179999993e+19
976,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.172841469e+19,1590080000000000.0,7.9158475616e+17,119379867231999.98,1.59008e+18,3.156643807951094e+22,4.865603627876069e+18,6.35299729700002e+22,6.3529972969999925e+19
991,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.175226586e+19,1590080000000000.0,7.9158475616e+17,119379867231999.98,1.59008e+18,3.1578311835918524e+22,4.867394323632215e+18,6.355382414000021e+22,6.355382413999992e+19
1006,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.177611703e+19,1590080000000000.0,7.9158475616e+17,119379867231999.98,1.59008e+18,3.1590185592326107e+22,4.869185019388361e+18,6.357767531000022e+22,6.357767530999992e+19
