Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
267 No No No No No No No ----Yes----
268 No No No No No No No ----Yes----
269 No No No No No No No ----Yes----
270 No No No No No No No ----Yes----
271 No No No No No No No ----Yes----
272 No No No No No No No ----Yes----
273 No No No No No No No ----Yes----
274 No No No No No No No ----Yes----
275 No No No No No No No ----Yes----
276 No No No No No No No ----Yes----
277 No No No No No No No ----Yes----
278 No No No No No No No ----Yes----
279 No No No No No No No ----Yes----
280 No No No No No No No ----Yes----
281 No No No No No No No ----Yes----
282 No No No No No No No ----Yes----
283 No No No No No No No ----Yes----
284 No No No No No No No ----Yes----
285 No No No No No No No ----Yes----
286 No No No No No No No ----Yes----
287 No No No No No No No ----Yes----
288 No No No No No No No ----Yes----
289 No No No No No No No ----Yes----
290 No No No No No No No ----Yes----
291 No No No No No No No ----Yes----
292 No No No No No No No ----Yes----
293 No No No No No No No ----Yes----
294 No No No No No No No ----Yes----
295 No No No No No No No ----Yes----
296 No No No No No No No ----Yes----
297 No No No No No No No ----Yes----
298 No No No No No No No ----Yes----
299 No No No No No No No ----Yes----
300 No No No No No No No ----Yes----
301 No No No No No No No ----Yes----
302 No No No No No No No ----Yes----
303 No No No No No No No ----Yes----
304 No No No No No No No ----Yes----
305 No No No No No No No ----Yes----
306 No No No No No No No ----Yes----
307 No No No No No No No ----Yes----
308 No No No No No No No ----Yes----
309 No No No No No No No ----Yes----
310 No No No No No No No ----Yes----
311 No No No No No No No ----Yes----
312 No No No No No No No ----Yes----
313 No No No No No No No ----Yes----
314 No No No No No No No ----Yes----
315 No No No No No No No ----Yes----
316 No No No No No No No ----Yes----
317 No No No No No No No ----Yes----
318 No No No No No No No ----Yes----
319 No No No No No No No ----Yes----
320 No No No No No No No ----Yes----
321 No No No No No No No ----Yes----
322 No No No No No No No ----Yes----
323 No No No No No No No ----Yes----
324 No No No No No No No ----Yes----
325 No No No No No No No ----Yes----
326 No No No No No No No ----Yes----
327 No No No No No No No ----Yes----
328 No No No No No No No ----Yes----
329 No No No No No No No ----Yes----
330 No No No No No No No ----Yes----
331 No No No No No No No ----Yes----
332 No No No No No No No ----Yes----
333 No No No No No No No ----Yes----
334 No No No No No No No ----Yes----
335 No No No No No No No ----Yes----
336 No No No No No No No ----Yes----
337 No No No No No No No ----Yes----
338 No No No No No No No ----Yes----
339 No No No No No No No ----Yes----
340 No No No No No No No ----Yes----
341 No No No No No No No ----Yes----
342 No No No No No No No ----Yes----
343 No No No No No No No ----Yes----
344 No No No No No No No ----Yes----
345 No No No No No No No ----Yes----
346 No No No No No No No ----Yes----
347 No No No No No No No ----Yes----
348 No No No No No No No ----Yes----
349 No No No No No No No ----Yes----
350 No No No No No No No ----Yes----
351 No No No No No No No ----Yes----
352 No No No No No No No ----Yes----
353 No No No No No No No ----Yes----
354 No No No No No No No ----Yes----
355 No No No No No No No ----Yes----
356 No No No No No No No ----Yes----
357 No No No No No No No ----Yes----
358 No No No No No No No ----Yes----
359 No No No No No No No ----Yes----
360 No No No No No No No ----Yes----
361 No No No No No No No ----Yes----
362 No No No No No No No ----Yes----
363 No No No No No No No ----Yes----
364 No No No No No No No ----Yes----
365 No No No No No No No ----Yes----
366 No No No No No No No ----Yes----
367 No No No No No No No ----Yes----
368 No No No No No No No ----Yes----
369 No No No No No No No ----Yes----
370 No No No No No No No ----Yes----
371 No No No No No No No ----Yes----
372 No No No No No No No ----Yes----
373 No No No No No No No ----Yes----
374 No No No No No No No ----Yes----
375 No No No No No No No ----Yes----
376 No No No No No No No ----Yes----
377 No No No No No No No ----Yes----
378 No No No No No No No ----Yes----
379 No No No No No No No ----Yes----
380 No No No No No No No ----Yes----
381 No No No No No No No ----Yes----
382 No No No No No No No ----Yes----
383 No No No No No No No ----Yes----
384 No No No No No No No ----Yes----
385 No No No No No No No ----Yes----
386 No No No No No No No ----Yes----
387 No No No No No No No ----Yes----
388 No No No No No No No ----Yes----
389 No No No No No No No ----Yes----
390 No No No No No No No ----Yes----
391 No No No No No No No ----Yes----
392 No No No No No No No ----Yes----
393 No No No No No No No ----Yes----
394 No No No No No No No ----Yes----
395 No No No No No No No ----Yes----
396 No No No No No No No ----Yes----
397 No No No No No No No ----Yes----
398 No No No No No No No ----Yes----
399 No No No No No No No ----Yes----
400 No No No No No No No ----Yes----
401 No No No No No No No ----Yes----
402 No No No No No No No ----Yes----
403 No No No No No No No ----Yes----
404 No No No No No No No ----Yes----
405 No No No No No No No ----Yes----
406 No No No No No No No ----Yes----
407 No No No No No No No ----Yes----
408 No No No No No No No ----Yes----
409 No No No No No No No ----Yes----
410 No No No No No No No ----Yes----
411 No No No No No No No ----Yes----
412 No No No No No No No ----Yes----
413 No No No No No No No ----Yes----
414 No No No No No No No ----Yes----
415 No No No No No No No ----Yes----
416 No No No No No No No ----Yes----
417 No No No No No No No ----Yes----
418 No No No No No No No ----Yes----
419 No No No No No No No ----Yes----
420 No No No No No No No ----Yes----
421 No No No No No No No ----Yes----
422 No No No No No No No ----Yes----
423 No No No No No No No ----Yes----
424 No No No No No No No ----Yes----
425 No No No No No No No ----Yes----
426 No No No No No No No ----Yes----
427 No No No No No No No ----Yes----
428 No No No No No No No ----Yes----
429 No No No No No No No ----Yes----
430 No No No No No No No ----Yes----
431 No No No No No No No ----Yes----
432 No No No No No No No ----Yes----
433 No No No No No No No ----Yes----
434 No No No No No No No ----Yes----
435 No No No No No No No ----Yes----
436 No No No No No No No ----Yes----
437 No No No No No No No ----Yes----
438 No No No No No No No ----Yes----
439 No No No No No No No ----Yes----
440 No No No No No No No ----Yes----
441 No No No No No No No ----Yes----
442 No No No No No No No ----Yes----
443 No No No No No No No ----Yes----
444 No No No No No No No ----Yes----
445 No No No No No No No ----Yes----
446 No No No No No No No ----Yes----
447 No No No No No No No ----Yes----
448 No No No No No No No ----Yes----
449 No No No No No No No ----Yes----
450 No No No No No No No ----Yes----
451 No No No No No No No ----Yes----
452 No No No No No No No ----Yes----
453 No No No No No No No ----Yes----
454 No No No No No No No ----Yes----
455 No No No No No No No ----Yes----
456 No No No No No No No ----Yes----
457 No No No No No No No ----Yes----
458 No No No No No No No ----Yes----
459 No No No No No No No ----Yes----
460 No No No No No No No ----Yes----
461 No No No No No No No ----Yes----
462 No No No No No No No ----Yes----
463 No No No No No No No ----Yes----
464 No No No No No No No ----Yes----
465 No No No No No No No ----Yes----
466 No No No No No No No ----Yes----
467 No No No No No No No ----Yes----
468 No No No No No No No ----Yes----
469 No No No No No No No ----Yes----
470 No No No No No No No ----Yes----
471 No No No No No No No ----Yes----
472 No No No No No No No ----Yes----
473 No No No No No No No ----Yes----
474 No No No No No No No ----Yes----
475 No No No No No No No ----Yes----
476 No No No No No No No ----Yes----
477 No No No No No No No ----Yes----
478 No No No No No No No ----Yes----
479 No No No No No No No ----Yes----
480 No No No No No No No ----Yes----
481 No No No No No No No ----Yes----
482 No No No No No No No ----Yes----
483 No No No No No No No ----Yes----
484 No No No No No No No ----Yes----
485 No No No No No No No ----Yes----
486 No No No No No No No ----Yes----
487 No No No No No No No ----Yes----
488 No No No No No No No ----Yes----
489 No No No No No No No ----Yes----
490 No No No No No No No ----Yes----
491 No No No No No No No ----Yes----
492 No No No No No No No ----Yes----
493 No No No No No No No ----Yes----
494 No No No No No No No ----Yes----
495 No No No No No No No ----Yes----
496 No No No No No No No ----Yes----
497 No No No No No No No ----Yes----
498 No No No No No No No ----Yes----
499 No No No No No No No ----Yes----
