Particle,n_H,n_g,T_gas,T_dust,chi,F_X
99,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99995E+04,0.00000E+00
100,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99995E+04,0.00000E+00
101,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99994E+04,0.00000E+00
102,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99994E+04,0.00000E+00
103,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99994E+04,0.00000E+00
104,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99993E+04,0.00000E+00
105,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99993E+04,0.00000E+00
106,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99993E+04,0.00000E+00
107,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99992E+04,0.00000E+00
108,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99992E+04,0.00000E+00
109,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99992E+04,0.00000E+00
110,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99992E+04,0.00000E+00
111,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99991E+04,0.00000E+00
112,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99991E+04,0.00000E+00
113,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99991E+04,0.00000E+00
114,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99990E+04,0.00000E+00
115,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99990E+04,0.00000E+00
116,3.16228E+05,6.32456E-07,7.42399E+02,1.32979E+02,9.99990E+04,0.00000E+00
117,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99989E+04,0.00000E+00
118,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99989E+04,0.00000E+00
119,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99989E+04,0.00000E+00
120,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99989E+04,0.00000E+00
121,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99988E+04,0.00000E+00
122,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99988E+04,0.00000E+00
