Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
46 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
47 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
48 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
49 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
50 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
51 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
52 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
53 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
54 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
55 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
56 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
57 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
58 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
59 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
60 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
61 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
62 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
63 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
64 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
65 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
66 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
67 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
68 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
69 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
70 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
71 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
72 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
73 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
74 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
75 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
76 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
77 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
78 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
79 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
80 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
81 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
82 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
83 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
84 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
85 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
86 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
87 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
88 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
89 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
90 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
91 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
92 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
93 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
94 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
95 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
96 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
97 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
98 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
99 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
100 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
101 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
102 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
103 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
104 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
105 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
106 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
107 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
108 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
