Particle Photoelectic H2Form H2*Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
59 1.38659E-22 1.38711E-22 6.12329E-33 3.69907E-23 2.46308E-25 3.36603E-28 7.00000E-26 5.72524E-29 -1.90718E-25 0.00000E+00 3.14488E-22
60 1.38659E-22 1.38711E-22 6.12349E-33 3.69907E-23 2.46308E-25 3.36614E-28 7.00000E-26 5.72541E-29 -1.90718E-25 0.00000E+00 3.14488E-22
61 1.38659E-22 1.38711E-22 6.12389E-33 3.69907E-23 2.46308E-25 3.36636E-28 7.00000E-26 5.72574E-29 -1.90718E-25 0.00000E+00 3.14488E-22
62 1.38659E-22 1.38711E-22 6.12429E-33 3.69907E-23 2.46308E-25 3.36658E-28 7.00000E-26 5.72607E-29 -1.90718E-25 0.00000E+00 3.14488E-22
63 1.38659E-22 1.38711E-22 6.12449E-33 3.69907E-23 2.46308E-25 3.36669E-28 7.00000E-26 5.72624E-29 -1.90718E-25 0.00000E+00 3.14488E-22
64 1.38659E-22 1.38711E-22 6.12489E-33 3.69907E-23 2.46308E-25 3.36691E-28 7.00000E-26 5.72657E-29 -1.90719E-25 0.00000E+00 3.14487E-22
65 1.38659E-22 1.38711E-22 6.12509E-33 3.69907E-23 2.46308E-25 3.36702E-28 7.00000E-26 5.72673E-29 -1.90719E-25 0.00000E+00 3.14487E-22
66 1.38659E-22 1.38711E-22 6.12549E-33 3.69907E-23 2.46308E-25 3.36724E-28 7.00000E-26 5.72706E-29 -1.90719E-25 0.00000E+00 3.14487E-22
67 1.38659E-22 1.38711E-22 6.12589E-33 3.69907E-23 2.46308E-25 3.36746E-28 7.00000E-26 5.72739E-29 -1.90719E-25 0.00000E+00 3.14487E-22
68 1.38659E-22 1.38711E-22 6.12609E-33 3.69907E-23 2.46308E-25 3.36757E-28 7.00000E-26 5.72756E-29 -1.90719E-25 0.00000E+00 3.14487E-22
69 1.38659E-22 1.38711E-22 6.12649E-33 3.69907E-23 2.46308E-25 3.36779E-28 7.00000E-26 5.72789E-29 -1.90719E-25 0.00000E+00 3.14487E-22
70 1.38659E-22 1.38711E-22 6.12669E-33 3.69907E-23 2.46308E-25 3.36790E-28 7.00000E-26 5.72806E-29 -1.90719E-25 0.00000E+00 3.14487E-22
71 1.38659E-22 1.38711E-22 6.12709E-33 3.69907E-23 2.46308E-25 3.36812E-28 7.00000E-26 5.72839E-29 -1.90719E-25 0.00000E+00 3.14487E-22
72 1.38659E-22 1.38711E-22 6.12749E-33 3.69907E-23 2.46308E-25 3.36834E-28 7.00000E-26 5.72872E-29 -1.90719E-25 0.00000E+00 3.14487E-22
73 1.38659E-22 1.38711E-22 6.12769E-33 3.69907E-23 2.46308E-25 3.36845E-28 7.00000E-26 5.72888E-29 -1.90719E-25 0.00000E+00 3.14487E-22
74 1.38659E-22 1.38711E-22 6.12809E-33 3.69907E-23 2.46308E-25 3.36868E-28 7.00000E-26 5.72921E-29 -1.90719E-25 0.00000E+00 3.14487E-22
75 1.38659E-22 1.38711E-22 6.12829E-33 3.69907E-23 2.46308E-25 3.36879E-28 7.00000E-26 5.72938E-29 -1.90719E-25 0.00000E+00 3.14487E-22
76 1.38659E-22 1.38711E-22 6.12869E-33 3.69907E-23 2.46308E-25 3.36901E-28 7.00000E-26 5.72971E-29 -1.90719E-25 0.00000E+00 3.14487E-22
77 1.38659E-22 1.38711E-22 6.12909E-33 3.69907E-23 2.46308E-25 3.36923E-28 7.00000E-26 5.73004E-29 -1.90719E-25 0.00000E+00 3.14487E-22
78 1.38659E-22 1.38711E-22 6.12930E-33 3.69907E-23 2.46308E-25 3.36934E-28 7.00000E-26 5.73021E-29 -1.90719E-25 0.00000E+00 3.14487E-22
79 1.38659E-22 1.38711E-22 6.12970E-33 3.69907E-23 2.46308E-25 3.36956E-28 7.00000E-26 5.73054E-29 -1.90719E-25 0.00000E+00 3.14487E-22
80 1.38659E-22 1.38711E-22 6.12990E-33 3.69907E-23 2.46308E-25 3.36967E-28 7.00000E-26 5.73070E-29 -1.90719E-25 0.00000E+00 3.14487E-22
81 1.38659E-22 1.38711E-22 6.13030E-33 3.69907E-23 2.46308E-25 3.36989E-28 7.00000E-26 5.73104E-29 -1.90719E-25 0.00000E+00 3.14487E-22
82 1.38659E-22 1.38711E-22 6.13050E-33 3.69907E-23 2.46308E-25 3.37000E-28 7.00000E-26 5.73120E-29 -1.90719E-25 0.00000E+00 3.14487E-22
83 1.38659E-22 1.38711E-22 6.13090E-33 3.69907E-23 2.46308E-25 3.37022E-28 7.00000E-26 5.73153E-29 -1.90719E-25 0.00000E+00 3.14487E-22
84 1.38659E-22 1.38711E-22 6.13130E-33 3.69907E-23 2.46308E-25 3.37044E-28 7.00000E-26 5.73186E-29 -1.90719E-25 0.00000E+00 3.14487E-22
85 1.38659E-22 1.38711E-22 6.13150E-33 3.69907E-23 2.46308E-25 3.37055E-28 7.00000E-26 5.73203E-29 -1.90719E-25 0.00000E+00 3.14487E-22
86 1.38659E-22 1.38711E-22 6.13190E-33 3.69907E-23 2.46308E-25 3.37077E-28 7.00000E-26 5.73236E-29 -1.90719E-25 0.00000E+00 3.14487E-22
87 1.38659E-22 1.38711E-22 6.13210E-33 3.69907E-23 2.46308E-25 3.37088E-28 7.00000E-26 5.73253E-29 -1.90719E-25 0.00000E+00 3.14487E-22
88 1.38659E-22 1.38711E-22 6.13250E-33 3.69907E-23 2.46308E-25 3.37110E-28 7.00000E-26 5.73286E-29 -1.90719E-25 0.00000E+00 3.14487E-22
