Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  1.718E+03, 1.0000E+03,  531.70,   45.87, 1.0240E-06, 1.178E-22, 1.603E-08, 1.000E+00, 7.276E-07, 6.954E-08, 6.806E-11, 1.000E-04, 3.000E-04, 1.876E-10, 3.311E-15, 4.415E-16, 1.058E-04
  1.818E+03, 1.0000E+03,  490.04,   45.87, 1.0240E-06, 6.734E-22, 2.934E-08, 1.000E+00, 7.691E-07, 7.340E-08, 8.433E-11, 1.000E-04, 3.000E-04, 1.705E-10, 3.230E-15, 4.306E-16, 1.058E-04
  1.918E+03, 1.0000E+03,  452.40,   45.87, 1.0240E-06, 1.035E-21, 3.084E-08, 1.000E+00, 8.106E-07, 7.724E-08, 8.657E-11, 1.000E-04, 3.000E-04, 1.745E-10, 3.237E-15, 4.316E-16, 1.059E-04
  2.018E+03, 1.0000E+03,  418.68,   45.87, 1.0240E-06, 1.585E-21, 3.225E-08, 1.000E+00, 8.519E-07, 8.106E-08, 8.885E-11, 1.000E-04, 3.000E-04, 1.777E-10, 3.249E-15, 4.332E-16, 1.059E-04
  2.118E+03, 1.0000E+03,  388.84,   45.87, 1.0240E-06, 2.400E-21, 3.355E-08, 1.000E+00, 8.931E-07, 8.486E-08, 9.113E-11, 1.000E-04, 3.000E-04, 1.801E-10, 3.264E-15, 4.352E-16, 1.060E-04
  2.218E+03, 1.0000E+03,  362.38,   45.87, 1.0240E-06, 3.566E-21, 3.471E-08, 1.000E+00, 9.343E-07, 8.864E-08, 9.340E-11, 1.000E-04, 3.000E-04, 1.819E-10, 3.282E-15, 4.376E-16, 1.060E-04
  2.318E+03, 1.0000E+03,  339.01,   45.87, 1.0240E-06, 5.200E-21, 3.573E-08, 1.000E+00, 9.753E-07, 9.240E-08, 9.563E-11, 1.000E-04, 3.000E-04, 1.830E-10, 3.303E-15, 4.403E-16, 1.061E-04
  2.418E+03, 1.0000E+03,  318.87,   45.87, 1.0240E-06, 7.423E-21, 3.661E-08, 1.000E+00, 1.016E-06, 9.614E-08, 9.783E-11, 1.000E-04, 3.000E-04, 1.837E-10, 3.326E-15, 4.434E-16, 1.061E-04
  2.518E+03, 1.0000E+03,  301.15,   45.87, 1.0240E-06, 1.028E-20, 3.735E-08, 1.000E+00, 1.057E-06, 9.986E-08, 9.991E-11, 1.000E-04, 3.000E-04, 1.841E-10, 3.350E-15, 4.466E-16, 1.062E-04
  2.618E+03, 1.0000E+03,  285.83,   45.87, 1.0240E-06, 1.393E-20, 3.798E-08, 1.000E+00, 1.098E-06, 1.036E-07, 1.019E-10, 1.000E-04, 3.000E-04, 1.842E-10, 3.375E-15, 4.500E-16, 1.062E-04
  2.718E+03, 1.0000E+03,  272.79,   45.87, 1.0240E-06, 1.837E-20, 3.849E-08, 1.000E+00, 1.139E-06, 1.072E-07, 1.038E-10, 1.000E-04, 3.000E-04, 1.842E-10, 3.401E-15, 4.534E-16, 1.062E-04
  2.818E+03, 1.0000E+03,  261.68,   45.87, 1.0240E-06, 2.350E-20, 3.891E-08, 1.000E+00, 1.179E-06, 1.109E-07, 1.055E-10, 1.000E-04, 3.000E-04, 1.843E-10, 3.425E-15, 4.567E-16, 1.063E-04
  2.918E+03, 1.0000E+03,  252.03,   45.87, 1.0240E-06, 2.924E-20, 3.924E-08, 1.000E+00, 1.220E-06, 1.145E-07, 1.071E-10, 1.000E-04, 3.000E-04, 1.846E-10, 3.449E-15, 4.598E-16, 1.063E-04
  3.018E+03, 1.0000E+03,  243.93,   45.87, 1.0240E-06, 3.562E-20, 3.951E-08, 1.000E+00, 1.260E-06, 1.181E-07, 1.086E-10, 1.000E-04, 3.000E-04, 1.851E-10, 3.472E-15, 4.629E-16, 1.064E-04
  3.118E+03, 1.0000E+03,  237.06,   45.87, 1.0240E-06, 4.226E-20, 3.971E-08, 1.000E+00, 1.300E-06, 1.217E-07, 1.099E-10, 1.000E-04, 3.000E-04, 1.858E-10, 3.493E-15, 4.656E-16, 1.064E-04
  3.218E+03, 1.0000E+03,  231.15,   45.87, 1.0240E-06, 4.906E-20, 3.988E-08, 1.000E+00, 1.340E-06, 1.253E-07, 1.111E-10, 1.000E-04, 3.000E-04, 1.869E-10, 3.512E-15, 4.682E-16, 1.065E-04
