Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
59 1.60140E-22 1.45860E-22 8.16969E-33 3.89101E-23 6.38646E-25 3.54133E-26 7.00000E-26 4.61649E-27 -2.45702E-25 0.00000E+00 3.45413E-22
60 1.60140E-22 1.45860E-22 8.16997E-33 3.89101E-23 6.38646E-25 3.54145E-26 7.00000E-26 4.61665E-27 -2.45702E-25 0.00000E+00 3.45413E-22
61 1.60140E-22 1.45860E-22 8.17053E-33 3.89101E-23 6.38646E-25 3.54169E-26 7.00000E-26 4.61697E-27 -2.45702E-25 0.00000E+00 3.45413E-22
62 1.60140E-22 1.45860E-22 8.17109E-33 3.89101E-23 6.38646E-25 3.54194E-26 7.00000E-26 4.61729E-27 -2.45702E-25 0.00000E+00 3.45413E-22
63 1.60140E-22 1.45860E-22 8.17137E-33 3.89101E-23 6.38646E-25 3.54206E-26 7.00000E-26 4.61745E-27 -2.45702E-25 0.00000E+00 3.45413E-22
64 1.60140E-22 1.45860E-22 8.17193E-33 3.89101E-23 6.38646E-25 3.54230E-26 7.00000E-26 4.61776E-27 -2.45702E-25 0.00000E+00 3.45413E-22
65 1.60140E-22 1.45860E-22 8.17221E-33 3.89101E-23 6.38646E-25 3.54243E-26 7.00000E-26 4.61792E-27 -2.45702E-25 0.00000E+00 3.45413E-22
66 1.60140E-22 1.45860E-22 8.17278E-33 3.89101E-23 6.38646E-25 3.54267E-26 7.00000E-26 4.61824E-27 -2.45702E-25 0.00000E+00 3.45413E-22
67 1.60140E-22 1.45860E-22 8.17334E-33 3.89101E-23 6.38646E-25 3.54291E-26 7.00000E-26 4.61856E-27 -2.45702E-25 0.00000E+00 3.45413E-22
68 1.60140E-22 1.45860E-22 8.17362E-33 3.89101E-23 6.38646E-25 3.54304E-26 7.00000E-26 4.61872E-27 -2.45702E-25 0.00000E+00 3.45413E-22
69 1.60140E-22 1.45860E-22 8.17418E-33 3.89101E-23 6.38646E-25 3.54328E-26 7.00000E-26 4.61904E-27 -2.45702E-25 0.00000E+00 3.45413E-22
