Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
22 4.34782E-14 1.38326E-05 3.86255E-08 2.42402E-23 4.55699E-12 1.59615E-12 4.35042E-24 1.84689E-09 8.41320E-11 4.96137E-06 9.92181E-05 2.16933E-21 2.75507E-13 2.31985E-16 4.01848E-14 1.03338E-13 5.38542E-16 1.00969E-12 2.03830E-04 3.17859E-16 8.85799E-13 1.45864E-17 8.86963E-16 7.41610E-14 7.81688E-07 9.99862E-02 1.99351E-12 1.81918E-10 4.62408E-10 2.99997E-04 6.89327E-04 9.98418E-01 3.21844E-04
23 4.34842E-14 1.38326E-05 3.86255E-08 2.42452E-23 4.55700E-12 1.59626E-12 4.35132E-24 1.84689E-09 8.41372E-11 4.96137E-06 9.92181E-05 2.16978E-21 2.75542E-13 2.32030E-16 4.01850E-14 1.03344E-13 5.38611E-16 1.00969E-12 2.03830E-04 3.17903E-16 8.85831E-13 1.45884E-17 8.86993E-16 7.41661E-14 7.81690E-07 9.99862E-02 1.99351E-12 1.81918E-10 4.62409E-10 2.99997E-04 6.89374E-04 9.98417E-01 3.21844E-04
24 4.34871E-14 1.38326E-05 3.86255E-08 2.42477E-23 4.55701E-12 1.59632E-12 4.35177E-24 1.84689E-09 8.41397E-11 4.96137E-06 9.92181E-05 2.17000E-21 2.75559E-13 2.32053E-16 4.01850E-14 1.03347E-13 5.38645E-16 1.00969E-12 2.03830E-04 3.17925E-16 8.85847E-13 1.45894E-17 8.87008E-16 7.41687E-14 7.81691E-07 9.99862E-02 1.99351E-12 1.81918E-10 4.62410E-10 2.99997E-04 6.89398E-04 9.98417E-01 3.21844E-04
25 4.34931E-14 1.38326E-05 3.86255E-08 2.42527E-23 4.55702E-12 1.59642E-12 4.35267E-24 1.84689E-09 8.41449E-11 4.96137E-06 9.92181E-05 2.17045E-21 2.75594E-13 2.32098E-16 4.01851E-14 1.03352E-13 5.38714E-16 1.00970E-12 2.03830E-04 3.17968E-16 8.85879E-13 1.45914E-17 8.87038E-16 7.41737E-14 7.81692E-07 9.99862E-02 1.99351E-12 1.81919E-10 4.62411E-10 2.99997E-04 6.89445E-04 9.98417E-01 3.21844E-04
26 4.34961E-14 1.38326E-05 3.86255E-08 2.42552E-23 4.55703E-12 1.59648E-12 4.35312E-24 1.84689E-09 8.41475E-11 4.96137E-06 9.92181E-05 2.17067E-21 2.75612E-13 2.32121E-16 4.01852E-14 1.03355E-13 5.38748E-16 1.00970E-12 2.03830E-04 3.17990E-16 8.85895E-13 1.45924E-17 8.87053E-16 7.41763E-14 7.81693E-07 9.99862E-02 1.99351E-12 1.81919E-10 4.62412E-10 2.99997E-04 6.89469E-04 9.98417E-01 3.21844E-04
27 4.35021E-14 1.38326E-05 3.86255E-08 2.42602E-23 4.55704E-12 1.59659E-12 4.35401E-24 1.84689E-09 8.41526E-11 4.96137E-06 9.92181E-05 2.17112E-21 2.75647E-13 2.32166E-16 4.01853E-14 1.03361E-13 5.38817E-16 1.00971E-12 2.03830E-04 3.18034E-16 8.85927E-13 1.45944E-17 8.87082E-16 7.41814E-14 7.81695E-07 9.99862E-02 1.99351E-12 1.81920E-10 4.62413E-10 2.99997E-04 6.89516E-04 9.98417E-01 3.21844E-04
28 4.35080E-14 1.38326E-05 3.86255E-08 2.42652E-23 4.55706E-12 1.59670E-12 4.35491E-24 1.84689E-09 8.41578E-11 4.96137E-06 9.92181E-05 2.17157E-21 2.75682E-13 2.32212E-16 4.01854E-14 1.03367E-13 5.38886E-16 1.00972E-12 2.03830E-04 3.18077E-16 8.85958E-13 1.45965E-17 8.87112E-16 7.41865E-14 7.81696E-07 9.99862E-02 1.99351E-12 1.81920E-10 4.62414E-10 2.99997E-04 6.89564E-04 9.98417E-01 3.21844E-04
29 4.35110E-14 1.38326E-05 3.86255E-08 2.42677E-23 4.55706E-12 1.59675E-12 4.35536E-24 1.84689E-09 8.41603E-11 4.96137E-06 9.92181E-05 2.17179E-21 2.75699E-13 2.32235E-16 4.01855E-14 1.03369E-13 5.38921E-16 1.00972E-12 2.03830E-04 3.18099E-16 8.85974E-13 1.45975E-17 8.87127E-16 7.41890E-14 7.81697E-07 9.99862E-02 1.99351E-12 1.81921E-10 4.62415E-10 2.99997E-04 6.89587E-04 9.98417E-01 3.21844E-04
30 4.35170E-14 1.38326E-05 3.86255E-08 2.42727E-23 4.55708E-12 1.59686E-12 4.35626E-24 1.84689E-09 8.41655E-11 4.96137E-06 9.92181E-05 2.17224E-21 2.75734E-13 2.32280E-16 4.01856E-14 1.03375E-13 5.38990E-16 1.00972E-12 2.03830E-04 3.18143E-16 8.86006E-13 1.45995E-17 8.87157E-16 7.41941E-14 7.81699E-07 9.99862E-02 1.99351E-12 1.81921E-10 4.62416E-10 2.99997E-04 6.89635E-04 9.98417E-01 3.21844E-04
31 4.35199E-14 1.38326E-05 3.86255E-08 2.42752E-23 4.55708E-12 1.59691E-12 4.35671E-24 1.84689E-09 8.41681E-11 4.96137E-06 9.92181E-05 2.17246E-21 2.75752E-13 2.32303E-16 4.01856E-14 1.03378E-13 5.39024E-16 1.00973E-12 2.03830E-04 3.18165E-16 8.86022E-13 1.46005E-17 8.87172E-16 7.41967E-14 7.81700E-07 9.99862E-02 1.99351E-12 1.81921E-10 4.62417E-10 2.99997E-04 6.89658E-04 9.98417E-01 3.21844E-04
32 4.35259E-14 1.38326E-05 3.86255E-08 2.42802E-23 4.55710E-12 1.59702E-12 4.35761E-24 1.84689E-09 8.41732E-11 4.96137E-06 9.92181E-05 2.17291E-21 2.75787E-13 2.32348E-16 4.01858E-14 1.03383E-13 5.39093E-16 1.00973E-12 2.03830E-04 3.18209E-16 8.86054E-13 1.46025E-17 8.87202E-16 7.42017E-14 7.81701E-07 9.99862E-02 1.99351E-12 1.81922E-10 4.62418E-10 2.99997E-04 6.89706E-04 9.98417E-01 3.21844E-04
33 4.35319E-14 1.38326E-05 3.86255E-08 2.42852E-23 4.55711E-12 1.59713E-12 4.35850E-24 1.84689E-09 8.41784E-11 4.96137E-06 9.92181E-05 2.17336E-21 2.75822E-13 2.32394E-16 4.01859E-14 1.03389E-13 5.39162E-16 1.00974E-12 2.03830E-04 3.18252E-16 8.86085E-13 1.46045E-17 8.87231E-16 7.42068E-14 7.81703E-07 9.99862E-02 1.99351E-12 1.81922E-10 4.62420E-10 2.99997E-04 6.89753E-04 9.98417E-01 3.21844E-04
